task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t154,inspect,m17,m17_s1,segment,r1,greedy,2026-01-01T08:12:14.55,e399,2026-01-01T08:26:45.91,2026-01-01T08:26:55.99
t157,inspect,m17,m17_s2,segment,r7,greedy,2026-01-01T08:12:14.55,e403,2026-01-01T08:26:56.53,2026-01-01T08:27:07.18
t159,inspect,m17,m17_s3,segment,r3,greedy,2026-01-01T08:12:14.55,e407,2026-01-01T08:26:47.87,2026-01-01T08:26:57.90
t28,harvest,m3,m3_s3,segment,r8,greedy,2026-01-01T08:12:40.21,e412,2026-01-01T08:18:21.37,2026-01-01T08:18:46.15
t51,harvest,m6,m6_s1,segment,r4,greedy,2026-01-01T08:12:40.80,e417,2026-01-01T08:19:42.88,2026-01-01T08:20:02.29
t164,inspect,m18,m18_s1,segment,r5,greedy,2026-01-01T08:12:41.52,e421,2026-01-01T08:27:09.09,2026-01-01T08:27:19.32
t166,inspect,m18,m18_s2,segment,r1,greedy,2026-01-01T08:12:41.52,e425,2026-01-01T08:28:56.51,2026-01-01T08:29:07.22
t169,inspect,m18,m18_s3,segment,r7,greedy,2026-01-01T08:12:41.52,e429,2026-01-01T08:28:28.55,2026-01-01T08:28:42.56
t173,inspect,m19,m19_s1,segment,r5,greedy,2026-01-01T08:12:48.75,e433,2026-01-01T08:28:27.19,2026-01-01T08:28:41.17
t176,inspect,m19,m19_s2,segment,r3,greedy,2026-01-01T08:12:48.75,e437,2026-01-01T08:28:20.40,2026-01-01T08:28:30.01
t178,inspect,m19,m19_s3,segment,r7,greedy,2026-01-01T08:12:48.75,e441,2026-01-01T08:30:26.49,2026-01-01T08:30:40.19
t183,inspect,m20,m20_s1,segment,r5,greedy,2026-01-01T08:12:55.86,e448,2026-01-01T08:31:11.75,2026-01-01T08:31:24.77
t185,inspect,m20,m20_s2,segment,r1,greedy,2026-01-01T08:12:55.86,e455,2026-01-01T08:30:38.76,2026-01-01T08:30:52.46
t188,inspect,m20,m20_s3,segment,r3,greedy,2026-01-01T08:12:55.86,e459,2026-01-01T08:29:31.36,2026-01-01T08:29:43.61
t56,harvest,m6,m6_s3,segment,r8,greedy,2026-01-01T08:13:42.91,e464,2026-01-01T08:20:10.73,2026-01-01T08:20:30.79
t61,harvest,m7,m7_s1,segment,r4,greedy,2026-01-01T08:13:45.89,e469,2026-01-01T08:22:00.99,2026-01-01T08:22:28.05
t79,spray,m9,m9_s1,segment,r2,greedy,2026-01-01T08:13:46.88,e473,2026-01-01T08:15:14.71,2026-01-01T08:15:29.90
t82,harvest,m9,m9_s2,segment,r8,greedy,2026-01-01T08:13:51.85,e478,2026-01-01T08:20:57.54,2026-01-01T08:21:24.71
t48,final_inspection,m5,,mission,r3,greedy,2026-01-01T08:13:58.26,e485,2026-01-01T08:31:59.06,2026-01-01T08:32:06.10
t53,spray,m6,m6_s2,segment,r6,greedy,2026-01-01T08:14:20.03,e489,2026-01-01T08:14:43.03,2026-01-01T08:14:59.03
t66,harvest,m7,m7_s3,segment,r8,greedy,2026-01-01T08:14:26.86,e494,2026-01-01T08:23:19.75,2026-01-01T08:23:48.19
t54,harvest,m6,m6_s2,segment,r4,greedy,2026-01-01T08:14:59.03,e499,2026-01-01T08:22:54.01,2026-01-01T08:23:13.92
t72,spray,m8,m8_s2,segment,r6,greedy,2026-01-01T08:14:59.94,e503,2026-01-01T08:15:26.99,2026-01-01T08:15:42.95
t70,harvest,m8,m8_s1,segment,r4,greedy,2026-01-01T08:15:08.59,e508,2026-01-01T08:25:25.65,2026-01-01T08:25:47.33
t80,harvest,m9,m9_s1,segment,r8,greedy,2026-01-01T08:15:29.90,e513,2026-01-01T08:24:37.87,2026-01-01T08:25:02.61
t73,harvest,m8,m8_s2,segment,r8,greedy,2026-01-01T08:15:42.95,e518,2026-01-01T08:27:18.89,2026-01-01T08:27:40.22
t38,final_inspection,m4,,mission,r1,greedy,2026-01-01T08:15:52.61,e522,2026-01-01T08:31:46.87,2026-01-01T08:31:53.53
t89,harvest,m10,m10_s1,segment,r4,greedy,2026-01-01T08:15:56.39,e527,2026-01-01T08:27:42.66,2026-01-01T08:28:10.66
t84,spray,m9,m9_s3,segment,r2,greedy,2026-01-01T08:16:08.59,e531,2026-01-01T08:16:44.89,2026-01-01T08:17:04.67
t75,harvest,m8,m8_s3,segment,r8,greedy,2026-01-01T08:16:49.80,e536,2026-01-01T08:28:43.76,2026-01-01T08:29:05.31
t91,spray,m10,m10_s2,segment,r6,greedy,2026-01-01T08:17:03.02,e540,2026-01-01T08:17:32.22,2026-01-01T08:17:46.70
t85,harvest,m9,m9_s3,segment,r4,greedy,2026-01-01T08:17:04.67,e545,2026-01-01T08:29:42.50,2026-01-01T08:30:02.04
t103,spray,m11,m11_s3,segment,r6,greedy,2026-01-01T08:17:27.97,e549,2026-01-01T08:19:13.99,2026-01-01T08:19:30.48
t94,harvest,m10,m10_s3,segment,r8,greedy,2026-01-01T08:17:28.88,e554,2026-01-01T08:30:54.95,2026-01-01T08:31:15.78
t92,harvest,m10,m10_s2,segment,r4,greedy,2026-01-01T08:17:46.70,e559,2026-01-01T08:31:52.44,2026-01-01T08:32:20.03
t98,spray,m11,m11_s1,segment,r2,greedy,2026-01-01T08:17:51.95,e563,2026-01-01T08:20:06.63,2026-01-01T08:20:27.32
t108,harvest,m12,m12_s1,segment,r1,greedy,2026-01-01T08:18:08.56,e568,2026-01-01T08:32:46.33,2026-01-01T08:33:14.72
t101,harvest,m11,m11_s2,segment,r5,greedy,2026-01-01T08:18:36.46,e573,2026-01-01T08:32:37.63,2026-01-01T08:33:05.93
t29,final_inspection,m3,,mission,r7,greedy,2026-01-01T08:18:46.15,e580,2026-01-01T08:33:10.94,2026-01-01T08:33:20.22
t104,harvest,m11,m11_s3,segment,r8,greedy,2026-01-01T08:19:30.48,e585,2026-01-01T08:33:19.10,2026-01-01T08:33:47.07
t113,harvest,m12,m12_s3,segment,r4,greedy,2026-01-01T08:19:39.82,e590,2026-01-01T08:32:38.92,2026-01-01T08:33:07.60
t99,harvest,m11,m11_s1,segment,r4,greedy,2026-01-01T08:20:27.32,e598,2026-01-01T08:35:35.35,2026-01-01T08:36:03.96
t120,harvest,m13,m13_s2,segment,r5,greedy,2026-01-01T08:20:27.37,e603,2026-01-01T08:34:49.26,2026-01-01T08:35:17.90
t110,spray,m12,m12_s2,segment,r2,greedy,2026-01-01T08:20:34.49,e607,2026-01-01T08:23:05.64,2026-01-01T08:23:22.85
t117,spray,m13,m13_s1,segment,r6,greedy,2026-01-01T08:20:55.07,e611,2026-01-01T08:23:41.89,2026-01-01T08:24:00.05
t122,spray,m13,m13_s3,segment,r6,greedy,2026-01-01T08:21:35.96,e615,2026-01-01T08:24:20.85,2026-01-01T08:24:36.04
t127,harvest,m14,m14_s1,segment,r1,greedy,2026-01-01T08:21:39.60,e620,2026-01-01T08:35:13.81,2026-01-01T08:35:40.58
t129,spray,m14,m14_s2,segment,r2,greedy,2026-01-01T08:22:02.75,e624,2026-01-01T08:24:41.08,2026-01-01T08:24:57.13
t136,spray,m15,m15_s1,segment,r6,greedy,2026-01-01T08:22:35.08,e628,2026-01-01T08:25:24.24,2026-01-01T08:25:42.58
t132,harvest,m14,m14_s3,segment,r5,greedy,2026-01-01T08:22:37.31,e633,2026-01-01T08:35:53.51,2026-01-01T08:36:14.37
t139,harvest,m15,m15_s2,segment,r1,greedy,2026-01-01T08:22:40.14,e638,2026-01-01T08:36:31.93,2026-01-01T08:36:57.35
t57,final_inspection,m6,,mission,r7,greedy,2026-01-01T08:23:13.92,e642,2026-01-01T08:34:07.62,2026-01-01T08:34:16.85
t111,harvest,m12,m12_s2,segment,r5,greedy,2026-01-01T08:23:22.85,e647,2026-01-01T08:36:54.05,2026-01-01T08:37:14.05
t146,harvest,m16,m16_s1,segment,r8,greedy,2026-01-01T08:23:40.89,e655,2026-01-01T08:37:50.50,2026-01-01T08:38:11.02
t67,final_inspection,m7,,mission,r3,greedy,2026-01-01T08:23:48.19,e659,2026-01-01T08:34:25.57,2026-01-01T08:34:32.39
t118,harvest,m13,m13_s1,segment,r1,greedy,2026-01-01T08:24:00.05,e664,2026-01-01T08:37:07.33,2026-01-01T08:37:30.36
t141,spray,m15,m15_s3,segment,r6,greedy,2026-01-01T08:24:33.75,e668,2026-01-01T08:27:06.24,2026-01-01T08:27:22.25
t123,harvest,m13,m13_s3,segment,r4,greedy,2026-01-01T08:24:36.04,e673,2026-01-01T08:36:53.82,2026-01-01T08:37:22.10
t130,harvest,m14,m14_s2,segment,r4,greedy,2026-01-01T08:24:57.13,e678,2026-01-01T08:38:32.92,2026-01-01T08:38:54.23
t148,spray,m16,m16_s2,segment,r2,greedy,2026-01-01T08:25:19.86,e682,2026-01-01T08:26:54.06,2026-01-01T08:27:14.96
t151,harvest,m16,m16_s3,segment,r1,greedy,2026-01-01T08:25:23.09,e687,2026-01-01T08:38:04.36,2026-01-01T08:38:30.21
t137,harvest,m15,m15_s1,segment,r1,greedy,2026-01-01T08:25:42.58,e692,2026-01-01T08:39:11.72,2026-01-01T08:39:40.29
t155,spray,m17,m17_s1,segment,r2,greedy,2026-01-01T08:26:55.99,e696,2026-01-01T08:29:18.03,2026-01-01T08:29:33.71
