objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
segment,m7_s1,e369,e469,r6,r4
segment,m7_s2,e124,e340,r7,r4
segment,m7_s3,e128,e385,r1,r2
segment,m7_s3,e385,e494,r2,r8
segment,m8_s1,e213,e508,r3,r4
segment,m8_s2,e217,e503,r5,r6
segment,m8_s2,e503,e518,r6,r8
segment,m8_s3,e221,e536,r1,r8
segment,m9_s1,e201,e473,r1,r2
segment,m9_s1,e473,e513,r2,r8
segment,m9_s2,e205,e478,r3,r8
segment,m9_s3,e209,e531,r7,r2
segment,m9_s3,e531,e545,r2,r4
