pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,segment,m14_s2,e331,e624,r5,r2,,,,,,,,,,,,,,
handover,segment,m14_s2,e624,e678,r2,r4,,,,,,,,,,,,,,
handover,segment,m14_s3,e335,e633,r1,r5,,,,,,,,,,,,,,
handover,segment,m15_s1,e353,e628,r7,r6,,,,,,,,,,,,,,
handover,segment,m15_s1,e628,e692,r6,r1,,,,,,,,,,,,,,
handover,segment,m15_s2,e357,e638,r3,r1,,,,,,,,,,,,,,
handover,segment,m15_s3,e361,e668,r5,r6,,,,,,,,,,,,,,
handover,segment,m15_s3,e668,e720,r6,r1,,,,,,,,,,,,,,
handover,segment,m16_s1,e373,e655,r1,r8,,,,,,,,,,,,,,
handover,segment,m16_s2,e377,e682,r7,r2,,,,,,,,,,,,,,
handover,segment,m16_s2,e682,e710,r2,r8,,,,,,,,,,,,,,
handover,segment,m16_s3,e381,e687,r3,r1,,,,,,,,,,,,,,
handover,segment,m17_s1,e399,e696,r1,r2,,,,,,,,,,,,,,
handover,segment,m17_s1,e696,e747,r2,r5,,,,,,,,,,,,,,
handover,segment,m17_s2,e403,e705,r7,r5,,,,,,,,,,,,,,
handover,segment,m17_s3,e407,e700,r3,r6,,,,,,,,,,,,,,
handover,segment,m17_s3,e700,e769,r6,r8,,,,,,,,,,,,,,
handover,segment,m18_s1,e421,e715,r5,r4,,,,,,,,,,,,,,
handover,segment,m18_s2,e425,e742,r1,r6,,,,,,,,,,,,,,
handover,segment,m18_s2,e742,e788,r6,r1,,,,,,,,,,,,,,
handover,segment,m18_s3,e429,e734,r7,r8,,,,,,,,,,,,,,
handover,segment,m19_s1,e433,e729,r5,r2,,,,,,,,,,,,,,
handover,segment,m19_s1,e729,e779,r2,r4,,,,,,,,,,,,,,
handover,segment,m19_s2,e437,e725,r3,r4,,,,,,,,,,,,,,
handover,segment,m19_s3,e441,e760,r7,r2,,,,,,,,,,,,,,
handover,segment,m19_s3,e760,e793,r2,r8,,,,,,,,,,,,,,
handover,segment,m1_s1,e157,e187,r2,r8,,,,,,,,,,,,,,
handover,segment,m1_s1,e24,e157,r7,r2,,,,,,,,,,,,,,
handover,segment,m1_s2,e28,e149,r3,r8,,,,,,,,,,,,,,
handover,segment,m1_s3,e165,e192,r6,r8,,,,,,,,,,,,,,
handover,segment,m1_s3,e32,e165,r1,r6,,,,,,,,,,,,,,
handover,segment,m20_s2,e455,e764,r1,r6,,,,,,,,,,,,,,
handover,segment,m20_s2,e764,e798,r6,r5,,,,,,,,,,,,,,
handover,segment,m20_s3,e459,e752,r3,r4,,,,,,,,,,,,,,
handover,segment,m2_s1,e44,e182,r5,r4,,,,,,,,,,,,,,
handover,segment,m2_s2,e229,e281,r6,r8,,,,,,,,,,,,,,
handover,segment,m2_s2,e48,e229,r7,r6,,,,,,,,,,,,,,
handover,segment,m2_s3,e52,e197,r3,r4,,,,,,,,,,,,,,
handover,segment,m3_s1,e108,e344,r1,r6,,,,,,,,,,,,,,
handover,segment,m3_s1,e344,e395,r6,r4,,,,,,,,,,,,,,
handover,segment,m3_s2,e112,e349,r3,r8,,,,,,,,,,,,,,
handover,segment,m3_s3,e116,e323,r7,r2,,,,,,,,,,,,,,
handover,segment,m3_s3,e323,e412,r2,r8,,,,,,,,,,,,,,
handover,segment,m4_s1,e84,e268,r5,r4,,,,,,,,,,,,,,
handover,segment,m4_s2,e302,e390,r2,r4,,,,,,,,,,,,,,
handover,segment,m4_s2,e88,e302,r7,r2,,,,,,,,,,,,,,
handover,segment,m4_s3,e92,e286,r3,r4,,,,,,,,,,,,,,
handover,segment,m5_s1,e225,e246,r2,r4,,,,,,,,,,,,,,
handover,segment,m5_s1,e68,e225,r5,r2,,,,,,,,,,,,,,
handover,segment,m5_s2,e72,e251,r3,r4,,,,,,,,,,,,,,
handover,segment,m5_s3,e272,e307,r2,r8,,,,,,,,,,,,,,
handover,segment,m5_s3,e76,e272,r1,r2,,,,,,,,,,,,,,
handover,segment,m6_s1,e169,e417,r1,r4,,,,,,,,,,,,,,
handover,segment,m6_s2,e173,e489,r5,r6,,,,,,,,,,,,,,
handover,segment,m6_s2,e489,e499,r6,r4,,,,,,,,,,,,,,
handover,segment,m6_s3,e177,e464,r7,r8,,,,,,,,,,,,,,
handover,segment,m7_s1,e120,e369,r5,r6,,,,,,,,,,,,,,
handover,segment,m7_s1,e369,e469,r6,r4,,,,,,,,,,,,,,
handover,segment,m7_s2,e124,e340,r7,r4,,,,,,,,,,,,,,
handover,segment,m7_s3,e128,e385,r1,r2,,,,,,,,,,,,,,
handover,segment,m7_s3,e385,e494,r2,r8,,,,,,,,,,,,,,
handover,segment,m8_s1,e213,e508,r3,r4,,,,,,,,,,,,,,
handover,segment,m8_s2,e217,e503,r5,r6,,,,,,,,,,,,,,
handover,segment,m8_s2,e503,e518,r6,r8,,,,,,,,,,,,,,
handover,segment,m8_s3,e221,e536,r1,r8,,,,,,,,,,,,,,
handover,segment,m9_s1,e201,e473,r1,r2,,,,,,,,,,,,,,
handover,segment,m9_s1,e473,e513,r2,r8,,,,,,,,,,,,,,
handover,segment,m9_s2,e205,e478,r3,r8,,,,,,,,,,,,,,
handover,segment,m9_s3,e209,e531,r7,r2,,,,,,,,,,,,,,
handover,segment,m9_s3,e531,e545,r2,r4,,,,,,,,,,,,,,
objective_switch,mission,,e108,e128,,,r1,m3,m7,,,,,,,,,,,
objective_switch,mission,,e12,e32,,,r1,m3,m1,,,,,,,,,,,
objective_switch,mission,,e128,e169,,,r1,m7,m6,,,,,,,,,,,
objective_switch,mission,,e169,e201,,,r1,m6,m9,,,,,,,,,,,
objective_switch,mission,,e201,e221,,,r1,m9,m8,,,,,,,,,,,
objective_switch,mission,,e221,e263,,,r1,m8,m11,,,,,,,,,,,
objective_switch,mission,,e263,e290,,,r1,m11,m12,,,,,,,,,,,
objective_switch,mission,,e290,e311,,,r1,m12,m13,,,,,,,,,,,
objective_switch,mission,,e311,e335,,,r1,m13,m14,,,,,,,,,,,
objective_switch,mission,,e32,e36,,,r1,m1,m6,,,,,,,,,,,
objective_switch,mission,,e335,e373,,,r1,m14,m16,,,,,,,,,,,
objective_switch,mission,,e36,e56,,,r1,m6,m8,,,,,,,,,,,
objective_switch,mission,,e373,e399,,,r1,m16,m17,,,,,,,,,,,
objective_switch,mission,,e399,e425,,,r1,m17,m18,,,,,,,,,,,
objective_switch,mission,,e425,e455,,,r1,m18,m20,,,,,,,,,,,
objective_switch,mission,,e455,e522,,,r1,m20,m4,,,,,,,,,,,
objective_switch,mission,,e522,e568,,,r1,m4,m12,,,,,,,,,,,
objective_switch,mission,,e56,e76,,,r1,m8,m5,,,,,,,,,,,
objective_switch,mission,,e568,e620,,,r1,m12,m14,,,,,,,,,,,
objective_switch,mission,,e620,e638,,,r1,m14,m15,,,,,,,,,,,
objective_switch,mission,,e638,e664,,,r1,m15,m13,,,,,,,,,,,
objective_switch,mission,,e664,e687,,,r1,m13,m16,,,,,,,,,,,
objective_switch,mission,,e687,e692,,,r1,m16,m15,,,,,,,,,,,
objective_switch,mission,,e720,e788,,,r1,m15,m18,,,,,,,,,,,
objective_switch,mission,,e76,e108,,,r1,m5,m3,,,,,,,,,,,
objective_switch,mission,,e826,e838,,,r1,m18,m19,,,,,,,,,,,
