event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e776,Control,enter_room,26:01:01T08:30:29.67,26:01:01T08:30:31.48,r4,,,
e777,Control,position,26:01:01T08:30:31.48,26:01:01T08:30:33.11,r4,,,
e778,Task,disinfect,26:01:01T08:30:33.11,26:01:01T08:30:50.75,r4,m18,m18_s2,t160
e783,Control,navigate,26:01:01T08:30:50.75,26:01:01T08:31:15.92,r4,,,
e784,Control,enter_room,26:01:01T08:31:15.92,26:01:01T08:31:17.66,r4,,,
e785,Control,position,26:01:01T08:31:17.66,26:01:01T08:31:19.73,r4,,,
e786,Task,disinfect,26:01:01T08:31:19.73,26:01:01T08:31:36.59,r4,m19,m19_s3,t172
e780,Control,enter_room,26:01:01T08:31:20.39,26:01:01T08:31:22.36,r8,,,
e781,Control,position,26:01:01T08:31:22.36,26:01:01T08:31:24.48,r8,,,
e782,Task,disinfect,26:01:01T08:31:24.48,26:01:01T08:31:43.15,r8,m20,m20_s2,t178
