event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e688,Control,navigate,26:01:01T08:25:35.12,26:01:01T08:26:09.54,r3,,,
e682,Task,mop,26:01:01T08:25:39.48,26:01:01T08:26:02.03,r6,m16,m16_s2,t141
e683,Control,navigate,26:01:01T08:25:40.25,26:01:01T08:25:42.78,r2,,,
e684,Control,enter_room,26:01:01T08:25:42.78,26:01:01T08:25:44.62,r2,,,
e734,Control,enter_room,26:01:01T08:25:43.54,26:01:01T08:25:45.66,r8,,,
e685,Control,position,26:01:01T08:25:44.62,26:01:01T08:25:47.02,r2,,,
e745,Control,navigate,26:01:01T08:25:44.84,26:01:01T08:26:43.87,r4,,,
e735,Control,position,26:01:01T08:25:45.66,26:01:01T08:25:47.98,r8,,,
e686,Control,clean_path,26:01:01T08:25:47.02,26:01:01T08:25:53.80,r2,,,
e736,Task,disinfect,26:01:01T08:25:47.98,26:01:01T08:26:06.07,r8,m12,m12_s2,t106
e687,Task,mop,26:01:01T08:25:53.80,26:01:01T08:26:18.12,r2,m17,m17_s3,t153
e711,Control,navigate,26:01:01T08:25:56.29,26:01:01T08:26:28.03,r7,,,
e701,Control,navigate,26:01:01T08:26:02.03,26:01:01T08:26:37.41,r6,,,
e741,Control,navigate,26:01:01T08:26:06.07,26:01:01T08:26:34.34,r8,,,
e689,Control,enter_room,26:01:01T08:26:09.54,26:01:01T08:26:11.63,r3,,,
e690,Control,position,26:01:01T08:26:11.63,26:01:01T08:26:13.86,r3,,,
e691,Control,clean_path,26:01:01T08:26:13.86,26:01:01T08:26:20.98,r3,,,
e706,Control,navigate,26:01:01T08:26:18.12,26:01:01T08:26:56.09,r2,,,
e692,Task,mop,26:01:01T08:26:20.98,26:01:01T08:26:43.18,r3,m17,m17_s1,t147
e712,Control,enter_room,26:01:01T08:26:28.03,26:01:01T08:26:29.69,r7,,,
e713,Control,position,26:01:01T08:26:29.69,26:01:01T08:26:31.29,r7,,,
e714,Control,clean_path,26:01:01T08:26:31.29,26:01:01T08:26:39.14,r7,,,
e742,Control,enter_room,26:01:01T08:26:34.34,26:01:01T08:26:36.54,r8,,,
e743,Control,position,26:01:01T08:26:36.54,26:01:01T08:26:38.59,r8,,,
e702,Control,enter_room,26:01:01T08:26:37.41,26:01:01T08:26:39.50,r6,,,
e744,Task,disinfect,26:01:01T08:26:38.59,26:01:01T08:26:53.24,r8,m13,m13_s1,t112
