objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m15,m20,,2026-01-01T08:11:08.30,2026-01-01T08:39:41.12
mission,m15,m3,,2026-01-01T08:09:29.31,2026-01-01T08:29:23.73
mission,m15,m4,,2026-01-01T08:09:29.31,2026-01-01T08:28:23.60
mission,m15,m5,,2026-01-01T08:09:29.31,2026-01-01T08:30:31.51
mission,m15,m6,,2026-01-01T08:09:29.31,2026-01-01T08:34:28.73
mission,m15,m7,,2026-01-01T08:09:29.31,2026-01-01T08:32:48.75
mission,m15,m8,,2026-01-01T08:09:29.31,2026-01-01T08:36:03.83
mission,m15,m9,,2026-01-01T08:09:29.31,2026-01-01T08:35:43.37
mission,m16,m17,,2026-01-01T08:10:25.02,2026-01-01T08:41:02.36
mission,m16,m18,,2026-01-01T08:11:21.71,2026-01-01T08:41:54.05
mission,m16,m19,,2026-01-01T08:10:52.36,2026-01-01T08:41:54.05
mission,m16,m2,,2026-01-01T08:09:51.04,2026-01-01T08:21:41.61
mission,m16,m20,,2026-01-01T08:11:08.30,2026-01-01T08:41:54.05
mission,m16,m3,,2026-01-01T08:09:51.04,2026-01-01T08:29:23.73
mission,m16,m4,,2026-01-01T08:09:51.04,2026-01-01T08:28:23.60
mission,m16,m5,,2026-01-01T08:09:51.04,2026-01-01T08:30:31.51
mission,m16,m6,,2026-01-01T08:09:51.04,2026-01-01T08:34:28.73
mission,m16,m7,,2026-01-01T08:09:51.04,2026-01-01T08:32:48.75
mission,m16,m8,,2026-01-01T08:09:51.04,2026-01-01T08:36:03.83
mission,m16,m9,,2026-01-01T08:09:51.04,2026-01-01T08:35:43.37
mission,m17,m18,,2026-01-01T08:11:21.71,2026-01-01T08:41:02.36
mission,m17,m19,,2026-01-01T08:10:52.36,2026-01-01T08:41:02.36
mission,m17,m2,,2026-01-01T08:10:25.02,2026-01-01T08:21:41.61
mission,m17,m20,,2026-01-01T08:11:08.30,2026-01-01T08:41:02.36
mission,m17,m3,,2026-01-01T08:10:25.02,2026-01-01T08:29:23.73
mission,m17,m4,,2026-01-01T08:10:25.02,2026-01-01T08:28:23.60
mission,m17,m5,,2026-01-01T08:10:25.02,2026-01-01T08:30:31.51
mission,m17,m6,,2026-01-01T08:10:25.02,2026-01-01T08:34:28.73
mission,m17,m7,,2026-01-01T08:10:25.02,2026-01-01T08:32:48.75
mission,m17,m8,,2026-01-01T08:10:25.02,2026-01-01T08:36:03.83
mission,m17,m9,,2026-01-01T08:10:25.02,2026-01-01T08:35:43.37
mission,m18,m19,,2026-01-01T08:11:21.71,2026-01-01T08:43:26.14
mission,m18,m2,,2026-01-01T08:11:21.71,2026-01-01T08:21:41.61
mission,m18,m20,,2026-01-01T08:11:21.71,2026-01-01T08:42:08.65
mission,m18,m3,,2026-01-01T08:11:21.71,2026-01-01T08:29:23.73
mission,m18,m4,,2026-01-01T08:11:21.71,2026-01-01T08:28:23.60
mission,m18,m5,,2026-01-01T08:11:21.71,2026-01-01T08:30:31.51
mission,m18,m6,,2026-01-01T08:11:21.71,2026-01-01T08:34:28.73
mission,m18,m7,,2026-01-01T08:11:21.71,2026-01-01T08:32:48.75
mission,m18,m8,,2026-01-01T08:11:21.71,2026-01-01T08:36:03.83
mission,m18,m9,,2026-01-01T08:11:21.71,2026-01-01T08:35:43.37
mission,m19,m2,,2026-01-01T08:10:52.36,2026-01-01T08:21:41.61
mission,m19,m20,,2026-01-01T08:11:08.30,2026-01-01T08:42:08.65
mission,m19,m3,,2026-01-01T08:10:52.36,2026-01-01T08:29:23.73
mission,m19,m4,,2026-01-01T08:10:52.36,2026-01-01T08:28:23.60
mission,m19,m5,,2026-01-01T08:10:52.36,2026-01-01T08:30:31.51
mission,m19,m6,,2026-01-01T08:10:52.36,2026-01-01T08:34:28.73
mission,m19,m7,,2026-01-01T08:10:52.36,2026-01-01T08:32:48.75
mission,m19,m8,,2026-01-01T08:10:52.36,2026-01-01T08:36:03.83
mission,m19,m9,,2026-01-01T08:10:52.36,2026-01-01T08:35:43.37
mission,m2,m20,,2026-01-01T08:11:08.30,2026-01-01T08:21:41.61
mission,m2,m3,,2026-01-01T08:02:06.85,2026-01-01T08:21:41.61
mission,m2,m4,,2026-01-01T08:01:31.92,2026-01-01T08:21:41.61
mission,m2,m5,,2026-01-01T08:01:19.67,2026-01-01T08:21:41.61
mission,m2,m6,,2026-01-01T08:03:37.02,2026-01-01T08:21:41.61
mission,m2,m7,,2026-01-01T08:02:06.60,2026-01-01T08:21:41.61
mission,m2,m8,,2026-01-01T08:04:43.79,2026-01-01T08:21:41.61
mission,m2,m9,,2026-01-01T08:05:37.45,2026-01-01T08:21:41.61
mission,m20,m3,,2026-01-01T08:11:08.30,2026-01-01T08:29:23.73
