perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
segment,m7_s3,e128,t64,r3,e444,t65,r6
segment,m7_s3,e444,t65,r6,e481,t66,r8
segment,m8_s1,e195,t69,r1,e515,t70,r8
segment,m8_s2,e199,t71,r5,e476,t72,r2
segment,m8_s2,e476,t72,r2,e510,t73,r8
segment,m8_s3,e203,t74,r7,e468,t75,r4
segment,m9_s1,e224,t78,r3,e523,t79,r6
segment,m9_s1,e523,t79,r6,e558,t80,r1
segment,m9_s2,e228,t81,r5,e505,t82,r4
segment,m9_s3,e232,t83,r7,e536,t84,r6
segment,m9_s3,e536,t84,r6,e581,t85,r4
robot,r1,e12,t20,r1,e32,t7,r1
robot,r1,e32,t7,r1,e36,t49,r1
robot,r1,e36,t49,r1,e76,t45,r1
robot,r1,e76,t45,r1,e112,t24,r1
robot,r1,e112,t24,r1,e120,t59,r1
robot,r1,e120,t59,r1,e140,t153,r1
robot,r1,e140,t153,r1,e165,t182,r1
robot,r1,e165,t182,r1,e177,t52,r1
robot,r1,e177,t52,r1,e195,t69,r1
robot,r1,e195,t69,r1,e250,t97,r1
robot,r1,e250,t97,r1,e289,t121,r1
robot,r1,e289,t121,r1,e310,t109,r1
robot,r1,e310,t109,r1,e336,t131,r1
robot,r1,e336,t131,r1,e370,t145,r1
robot,r1,e370,t145,r1,e395,t157,r1
robot,r1,e395,t157,r1,e415,t183,r1
robot,r1,e415,t183,r1,e435,t169,r1
robot,r1,e435,t169,r1,e545,t120,r1
robot,r1,e545,t120,r1,e558,t80,r1
robot,r1,e558,t80,r1,e599,t99,r1
robot,r1,e599,t99,r1,e655,t151,r1
robot,r1,e655,t151,r1,e674,t137,r1
robot,r1,e674,t137,r1,e707,t142,r1
robot,r1,e707,t142,r1,e752,t170,r1
robot,r1,e752,t170,r1,e789,t175,r1
robot,r1,e789,t175,r1,e834,t181,r1
robot,r2,e157,t3,r2,e169,t8,r2
robot,r2,e169,t8,r2,e293,t34,r2
robot,r2,e293,t34,r2,e297,t27,r2
robot,r2,e297,t27,r2,e387,t22,r2
robot,r2,e387,t22,r2,e472,t53,r2
robot,r2,e472,t53,r2,e476,t72,r2
robot,r2,e476,t72,r2,e532,t103,r2
robot,r2,e532,t103,r2,e540,t98,r2
robot,r2,e540,t98,r2,e589,t129,r2
robot,r2,e589,t129,r2,e636,t136,r2
robot,r2,e636,t136,r2,e664,t141,r2
robot,r2,e664,t141,r2,e693,t155,r2
robot,r2,e693,t155,r2,e747,t186,r2
robot,r2,e747,t186,r2,e770,t167,r2
robot,r3,e8,t11,r3,e28,t5,r3
robot,r3,e28,t5,r3,e44,t12,r3
robot,r3,e44,t12,r3,e64,t87,r3
robot,r3,e64,t87,r3,e72,t43,r3
robot,r3,e72,t43,r3,e80,t96,r3
robot,r3,e80,t96,r3,e84,t31,r3
robot,r3,e84,t31,r3,e96,t106,r3
robot,r3,e96,t106,r3,e128,t64,r3
robot,r3,e128,t64,r3,e173,t50,r3
robot,r3,e173,t50,r3,e220,t93,r3
robot,r3,e220,t93,r3,e224,t78,r3
robot,r3,e224,t78,r3,e254,t100,r3
robot,r3,e254,t100,r3,e306,t107,r3
robot,r3,e306,t107,r3,e357,t140,r3
robot,r3,e357,t140,r3,e391,t154,r3
robot,r3,e391,t154,r3,e407,t176,r3
robot,r3,e407,t176,r3,e576,t48,r3
robot,r3,e576,t48,r3,e724,t57,r3
robot,r3,e724,t57,r3,e774,t76,r3
robot,r3,e774,t76,r3,e806,t124,r3
robot,r3,e806,t124,r3,e818,t143,r3
robot,r3,e818,t143,r3,e830,t152,r3
robot,r4,e191,t18,r4,e237,t44,r4
robot,r4,e237,t44,r4,e263,t37,r4
robot,r4,e263,t37,r4,e268,t9,r4
robot,r4,e268,t9,r4,e319,t63,r4
robot,r4,e319,t63,r4,e341,t35,r4
robot,r4,e341,t35,r4,e383,t47,r4
robot,r4,e383,t47,r4,e458,t23,r4
robot,r4,e458,t23,r4,e468,t75,r4
robot,r4,e468,t75,r4,e490,t94,r4
robot,r4,e490,t94,r4,e500,t89,r4
robot,r4,e500,t89,r4,e505,t82,r4
robot,r4,e505,t82,r4,e528,t92,r4
robot,r4,e528,t92,r4,e567,t113,r4
robot,r4,e567,t113,r4,e581,t85,r4
robot,r4,e581,t85,r4,e616,t123,r4
robot,r4,e616,t123,r4,e632,t132,r4
robot,r4,e632,t132,r4,e660,t146,r4
robot,r4,e660,t146,r4,e717,t189,r4
robot,r4,e717,t189,r4,e738,t165,r4
robot,r4,e738,t165,r4,e779,t149,r4
robot,r5,e4,t1,r5,e16,t30,r5
robot,r5,e16,t30,r5,e40,t58,r5
robot,r5,e40,t58,r5,e48,t14,r5
robot,r5,e48,t14,r5,e56,t68,r5
robot,r5,e56,t68,r5,e68,t40,r5
robot,r5,e68,t40,r5,e88,t33,r5
robot,r5,e88,t33,r5,e116,t26,r5
robot,r5,e116,t26,r5,e124,t62,r5
robot,r5,e124,t62,r5,e132,t134,r5
robot,r5,e132,t134,r5,e136,t144,r5
robot,r5,e136,t144,r5,e144,t163,r5
robot,r5,e144,t163,r5,e199,t71,r5
robot,r5,e199,t71,r5,e216,t90,r5
robot,r5,e216,t90,r5,e228,t81,r5
robot,r5,e228,t81,r5,e258,t102,r5
robot,r5,e258,t102,r5,e281,t116,r5
robot,r5,e281,t116,r5,e328,t126,r5
robot,r5,e328,t126,r5,e349,t135,r5
robot,r5,e349,t135,r5,e378,t150,r5
robot,r5,e378,t150,r5,e399,t159,r5
robot,r5,e399,t159,r5,e411,t178,r5
robot,r5,e411,t178,r5,e423,t188,r5
robot,r5,e423,t188,r5,e427,t164,r5
robot,r5,e427,t164,r5,e453,t10,r5
robot,r5,e453,t10,r5,e519,t38,r5
robot,r5,e519,t38,r5,e572,t101,r5
robot,r5,e572,t101,r5,e611,t108,r5
robot,r5,e611,t108,r5,e650,t130,r5
robot,r5,e650,t130,r5,e702,t158,r5
robot,r5,e702,t158,r5,e733,t184,r5
robot,r5,e733,t184,r5,e757,t156,r5
robot,r5,e757,t156,r5,e784,t187,r5
robot,r5,e784,t187,r5,e794,t168,r5
robot,r5,e794,t168,r5,e838,t171,r5
robot,r6,e161,t15,r6,e241,t41,r6
robot,r6,e241,t41,r6,e272,t46,r6
robot,r6,e272,t46,r6,e345,t60,r6
robot,r6,e345,t60,r6,e444,t65,r6
robot,r6,e444,t65,r6,e485,t91,r6
robot,r6,e485,t91,r6,e523,t79,r6
robot,r6,e523,t79,r6,e536,t84,r6
robot,r6,e536,t84,r6,e562,t122,r6
robot,r6,e562,t122,r6,e585,t117,r6
robot,r6,e585,t117,r6,e603,t110,r6
robot,r6,e603,t110,r6,e678,t160,r6
robot,r6,e678,t160,r6,e689,t179,r6
robot,r6,e689,t179,r6,e697,t148,r6
robot,r6,e697,t148,r6,e728,t174,r6
robot,r7,e20,t39,r7,e24,t2,r7
robot,r7,e24,t2,r7,e52,t17,r7
robot,r7,e52,t17,r7,e60,t77,r7
robot,r7,e60,t77,r7,e92,t36,r7
robot,r7,e92,t36,r7,e100,t115,r7
robot,r7,e100,t115,r7,e104,t125,r7
robot,r7,e104,t125,r7,e108,t21,r7
robot,r7,e108,t21,r7,e153,t172,r7
robot,r7,e153,t172,r7,e181,t55,r7
robot,r7,e181,t55,r7,e203,t74,r7
robot,r7,e203,t74,r7,e212,t88,r7
