pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,segment,m13_s3,e562,e616,r6,r4,,,,,,,,,,,,,,
handover,segment,m14_s1,e328,e594,r5,r8,,,,,,,,,,,,,,
handover,segment,m14_s2,e332,e589,r7,r2,,,,,,,,,,,,,,
handover,segment,m14_s2,e589,e650,r2,r5,,,,,,,,,,,,,,
handover,segment,m14_s3,e336,e632,r1,r4,,,,,,,,,,,,,,
handover,segment,m15_s1,e349,e636,r5,r2,,,,,,,,,,,,,,
handover,segment,m15_s1,e636,e674,r2,r1,,,,,,,,,,,,,,
handover,segment,m15_s2,e353,e624,r7,r8,,,,,,,,,,,,,,
handover,segment,m15_s3,e357,e664,r3,r2,,,,,,,,,,,,,,
handover,segment,m15_s3,e664,e707,r2,r1,,,,,,,,,,,,,,
handover,segment,m16_s1,e370,e660,r1,r4,,,,,,,,,,,,,,
handover,segment,m16_s2,e374,e697,r7,r6,,,,,,,,,,,,,,
handover,segment,m16_s2,e697,e779,r6,r4,,,,,,,,,,,,,,
handover,segment,m16_s3,e378,e655,r5,r1,,,,,,,,,,,,,,
handover,segment,m17_s1,e391,e693,r3,r2,,,,,,,,,,,,,,
handover,segment,m17_s1,e693,e757,r2,r5,,,,,,,,,,,,,,
handover,segment,m17_s2,e395,e702,r1,r5,,,,,,,,,,,,,,
handover,segment,m17_s3,e399,e678,r5,r6,,,,,,,,,,,,,,
handover,segment,m17_s3,e678,e712,r6,r8,,,,,,,,,,,,,,
handover,segment,m18_s1,e427,e738,r5,r4,,,,,,,,,,,,,,
handover,segment,m18_s2,e431,e770,r7,r2,,,,,,,,,,,,,,
handover,segment,m18_s2,e770,e794,r2,r5,,,,,,,,,,,,,,
handover,segment,m19_s1,e403,e728,r7,r6,,,,,,,,,,,,,,
handover,segment,m19_s1,e728,e789,r6,r1,,,,,,,,,,,,,,
handover,segment,m19_s2,e407,e762,r3,r8,,,,,,,,,,,,,,
handover,segment,m19_s3,e411,e689,r5,r6,,,,,,,,,,,,,,
handover,segment,m19_s3,e689,e743,r6,r8,,,,,,,,,,,,,,
handover,segment,m1_s1,e157,e186,r2,r8,,,,,,,,,,,,,,
handover,segment,m1_s1,e24,e157,r7,r2,,,,,,,,,,,,,,
handover,segment,m1_s2,e28,e149,r3,r8,,,,,,,,,,,,,,
handover,segment,m1_s3,e169,e268,r2,r4,,,,,,,,,,,,,,
handover,segment,m1_s3,e32,e169,r1,r2,,,,,,,,,,,,,,
handover,segment,m20_s1,e415,e733,r1,r5,,,,,,,,,,,,,,
handover,segment,m20_s2,e419,e747,r7,r2,,,,,,,,,,,,,,
handover,segment,m20_s2,e747,e784,r2,r5,,,,,,,,,,,,,,
handover,segment,m20_s3,e423,e717,r5,r4,,,,,,,,,,,,,,
handover,segment,m2_s1,e44,e208,r3,r8,,,,,,,,,,,,,,
handover,segment,m2_s2,e161,e246,r6,r8,,,,,,,,,,,,,,
handover,segment,m2_s2,e48,e161,r5,r6,,,,,,,,,,,,,,
handover,segment,m2_s3,e52,e191,r7,r4,,,,,,,,,,,,,,
handover,segment,m3_s1,e108,e387,r7,r2,,,,,,,,,,,,,,
handover,segment,m3_s1,e387,e458,r2,r4,,,,,,,,,,,,,,
handover,segment,m3_s2,e112,e302,r1,r8,,,,,,,,,,,,,,
handover,segment,m3_s3,e116,e297,r5,r2,,,,,,,,,,,,,,
handover,segment,m3_s3,e297,e366,r2,r8,,,,,,,,,,,,,,
handover,segment,m4_s1,e84,e277,r3,r8,,,,,,,,,,,,,,
handover,segment,m4_s2,e293,e341,r2,r4,,,,,,,,,,,,,,
handover,segment,m4_s2,e88,e293,r5,r2,,,,,,,,,,,,,,
handover,segment,m4_s3,e92,e263,r7,r4,,,,,,,,,,,,,,
handover,segment,m5_s1,e241,e324,r6,r8,,,,,,,,,,,,,,
handover,segment,m5_s1,e68,e241,r5,r6,,,,,,,,,,,,,,
handover,segment,m5_s2,e72,e237,r3,r4,,,,,,,,,,,,,,
handover,segment,m5_s3,e272,e383,r6,r4,,,,,,,,,,,,,,
handover,segment,m5_s3,e76,e272,r1,r6,,,,,,,,,,,,,,
handover,segment,m6_s1,e173,e463,r3,r8,,,,,,,,,,,,,,
handover,segment,m6_s2,e177,e472,r1,r2,,,,,,,,,,,,,,
handover,segment,m6_s2,e472,e495,r2,r8,,,,,,,,,,,,,,
handover,segment,m6_s3,e181,e440,r7,r8,,,,,,,,,,,,,,
handover,segment,m7_s1,e120,e345,r1,r6,,,,,,,,,,,,,,
handover,segment,m7_s1,e345,e449,r6,r8,,,,,,,,,,,,,,
handover,segment,m7_s2,e124,e319,r5,r4,,,,,,,,,,,,,,
handover,segment,m7_s3,e128,e444,r3,r6,,,,,,,,,,,,,,
handover,segment,m7_s3,e444,e481,r6,r8,,,,,,,,,,,,,,
handover,segment,m8_s1,e195,e515,r1,r8,,,,,,,,,,,,,,
handover,segment,m8_s2,e199,e476,r5,r2,,,,,,,,,,,,,,
handover,segment,m8_s2,e476,e510,r2,r8,,,,,,,,,,,,,,
handover,segment,m8_s3,e203,e468,r7,r4,,,,,,,,,,,,,,
handover,segment,m9_s1,e224,e523,r3,r6,,,,,,,,,,,,,,
handover,segment,m9_s1,e523,e558,r6,r1,,,,,,,,,,,,,,
handover,segment,m9_s2,e228,e505,r5,r4,,,,,,,,,,,,,,
handover,segment,m9_s3,e232,e536,r7,r6,,,,,,,,,,,,,,
handover,segment,m9_s3,e536,e581,r6,r4,,,,,,,,,,,,,,
objective_switch,mission,,e112,e120,,,r1,m3,m7,,,,,,,,,,,
objective_switch,mission,,e12,e32,,,r1,m3,m1,,,,,,,,,,,
objective_switch,mission,,e120,e140,,,r1,m7,m17,,,,,,,,,,,
objective_switch,mission,,e140,e165,,,r1,m17,m20,,,,,,,,,,,
objective_switch,mission,,e165,e177,,,r1,m20,m6,,,,,,,,,,,
objective_switch,mission,,e177,e195,,,r1,m6,m8,,,,,,,,,,,
objective_switch,mission,,e195,e250,,,r1,m8,m11,,,,,,,,,,,
objective_switch,mission,,e250,e289,,,r1,m11,m13,,,,,,,,,,,
objective_switch,mission,,e289,e310,,,r1,m13,m12,,,,,,,,,,,
objective_switch,mission,,e310,e336,,,r1,m12,m14,,,,,,,,,,,
