objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
segment,r3,e357,e391,m15_s3,m17_s1
segment,r3,e391,e407,m17_s1,m19_s2
segment,r4,e191,e237,m2_s3,m5_s2
segment,r4,e237,e263,m5_s2,m4_s3
segment,r4,e263,e268,m4_s3,m1_s3
segment,r4,e268,e319,m1_s3,m7_s2
segment,r4,e319,e341,m7_s2,m4_s2
segment,r4,e341,e383,m4_s2,m5_s3
segment,r4,e383,e458,m5_s3,m3_s1
segment,r4,e458,e468,m3_s1,m8_s3
segment,r4,e468,e490,m8_s3,m10_s3
segment,r4,e490,e500,m10_s3,m10_s1
segment,r4,e500,e505,m10_s1,m9_s2
segment,r4,e505,e528,m9_s2,m10_s2
segment,r4,e528,e567,m10_s2,m12_s3
segment,r4,e567,e581,m12_s3,m9_s3
segment,r4,e581,e616,m9_s3,m13_s3
segment,r4,e616,e632,m13_s3,m14_s3
segment,r4,e632,e660,m14_s3,m16_s1
segment,r4,e660,e717,m16_s1,m20_s3
segment,r4,e717,e738,m20_s3,m18_s1
segment,r4,e738,e779,m18_s1,m16_s2
segment,r5,e116,e124,m3_s3,m7_s2
segment,r5,e199,e216,m8_s2,m10_s2
segment,r5,e216,e228,m10_s2,m9_s2
segment,r5,e228,e258,m9_s2,m11_s3
segment,r5,e258,e281,m11_s3,m13_s1
segment,r5,e281,e328,m13_s1,m14_s1
segment,r5,e328,e349,m14_s1,m15_s1
segment,r5,e349,e378,m15_s1,m16_s3
segment,r5,e378,e399,m16_s3,m17_s3
segment,r5,e399,e411,m17_s3,m19_s3
segment,r5,e411,e423,m19_s3,m20_s3
segment,r5,e423,e427,m20_s3,m18_s1
segment,r5,e572,e611,m11_s2,m12_s1
segment,r5,e611,e650,m12_s1,m14_s2
segment,r5,e650,e702,m14_s2,m17_s2
segment,r5,e68,e88,m5_s1,m4_s2
segment,r5,e702,e733,m17_s2,m20_s1
segment,r5,e733,e757,m20_s1,m17_s1
segment,r5,e757,e784,m17_s1,m20_s2
segment,r5,e784,e794,m20_s2,m18_s2
segment,r5,e88,e116,m4_s2,m3_s3
segment,r6,e161,e241,m2_s2,m5_s1
segment,r6,e241,e272,m5_s1,m5_s3
segment,r6,e272,e345,m5_s3,m7_s1
segment,r6,e345,e444,m7_s1,m7_s3
segment,r6,e444,e485,m7_s3,m10_s2
segment,r6,e485,e523,m10_s2,m9_s1
segment,r6,e523,e536,m9_s1,m9_s3
segment,r6,e536,e562,m9_s3,m13_s3
segment,r6,e562,e585,m13_s3,m13_s1
segment,r6,e585,e603,m13_s1,m12_s2
segment,r6,e603,e678,m12_s2,m17_s3
segment,r6,e678,e689,m17_s3,m19_s3
segment,r6,e689,e697,m19_s3,m16_s2
segment,r6,e697,e728,m16_s2,m19_s1
segment,r7,e181,e203,m6_s3,m8_s3
segment,r7,e203,e212,m8_s3,m10_s1
segment,r7,e212,e232,m10_s1,m9_s3
segment,r7,e232,e285,m9_s3,m13_s2
segment,r7,e24,e52,m1_s1,m2_s3
segment,r7,e285,e314,m13_s2,m12_s3
segment,r7,e314,e332,m12_s3,m14_s2
segment,r7,e332,e353,m14_s2,m15_s2
segment,r7,e374,e403,m16_s2,m19_s1
segment,r7,e403,e419,m19_s1,m20_s2
segment,r7,e419,e431,m20_s2,m18_s2
segment,r8,e149,e186,m1_s2,m1_s1
segment,r8,e186,e208,m1_s1,m2_s1
segment,r8,e208,e246,m2_s1,m2_s2
segment,r8,e246,e277,m2_s2,m4_s1
segment,r8,e277,e302,m4_s1,m3_s2
segment,r8,e302,e324,m3_s2,m5_s1
segment,r8,e324,e366,m5_s1,m3_s3
segment,r8,e366,e440,m3_s3,m6_s3
segment,r8,e440,e449,m6_s3,m7_s1
segment,r8,e449,e463,m7_s1,m6_s1
segment,r8,e463,e481,m6_s1,m7_s3
segment,r8,e481,e495,m7_s3,m6_s2
segment,r8,e495,e510,m6_s2,m8_s2
segment,r8,e510,e515,m8_s2,m8_s1
segment,r8,e515,e550,m8_s1,m11_s3
segment,r8,e550,e594,m11_s3,m14_s1
segment,r8,e594,e624,m14_s1,m15_s2
segment,r8,e624,e645,m15_s2,m13_s1
segment,r8,e645,e669,m13_s1,m12_s2
segment,r8,e669,e712,m12_s2,m17_s3
segment,r8,e712,e743,m17_s3,m19_s3
segment,r8,e743,e762,m19_s3,m19_s2
