task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t88,inspect,m10,m10_s1,segment,r7,auction,2026-01-01T08:05:26.51,e212,2026-01-01T08:14:12.44,2026-01-01T08:14:22.37
t90,inspect,m10,m10_s2,segment,r5,auction,2026-01-01T08:05:26.51,e216,2026-01-01T08:13:44.70,2026-01-01T08:13:57.05
t93,inspect,m10,m10_s3,segment,r3,auction,2026-01-01T08:05:26.51,e220,2026-01-01T08:13:55.23,2026-01-01T08:14:06.24
t78,inspect,m9,m9_s1,segment,r3,auction,2026-01-01T08:05:46.57,e224,2026-01-01T08:15:12.85,2026-01-01T08:15:24.79
t81,inspect,m9,m9_s2,segment,r5,auction,2026-01-01T08:05:46.57,e228,2026-01-01T08:14:39.74,2026-01-01T08:14:51.42
t83,inspect,m9,m9_s3,segment,r7,auction,2026-01-01T08:05:46.57,e232,2026-01-01T08:15:51.54,2026-01-01T08:16:04.45
t44,harvest,m5,m5_s2,segment,r4,auction,2026-01-01T08:05:51.94,e237,2026-01-01T08:07:19.49,2026-01-01T08:07:41.71
t41,spray,m5,m5_s1,segment,r6,auction,2026-01-01T08:05:52.85,e241,2026-01-01T08:08:28.51,2026-01-01T08:08:48.79
t16,harvest,m2,m2_s2,segment,r8,auction,2026-01-01T08:06:20.89,e246,2026-01-01T08:09:31.92,2026-01-01T08:09:54.39
t97,inspect,m11,m11_s1,segment,r1,auction,2026-01-01T08:06:29.54,e250,2026-01-01T08:16:54.25,2026-01-01T08:17:04.31
t100,inspect,m11,m11_s2,segment,r3,auction,2026-01-01T08:06:29.54,e254,2026-01-01T08:18:05.01,2026-01-01T08:18:17.81
t102,inspect,m11,m11_s3,segment,r5,auction,2026-01-01T08:06:29.54,e258,2026-01-01T08:15:43.02,2026-01-01T08:15:54.05
t37,harvest,m4,m4_s3,segment,r4,auction,2026-01-01T08:06:36.20,e263,2026-01-01T08:09:14.01,2026-01-01T08:09:35.64
t9,harvest,m1,m1_s3,segment,r4,auction,2026-01-01T08:06:47.09,e268,2026-01-01T08:11:37.99,2026-01-01T08:12:05.34
t46,spray,m5,m5_s3,segment,r6,auction,2026-01-01T08:07:11.09,e272,2026-01-01T08:10:03.71,2026-01-01T08:10:20.83
t32,harvest,m4,m4_s1,segment,r8,auction,2026-01-01T08:07:12.92,e277,2026-01-01T08:11:25.17,2026-01-01T08:11:46.84
t116,inspect,m13,m13_s1,segment,r5,auction,2026-01-01T08:07:25.32,e281,2026-01-01T08:18:40.27,2026-01-01T08:18:50.29
t119,inspect,m13,m13_s2,segment,r7,auction,2026-01-01T08:07:25.32,e285,2026-01-01T08:16:54.58,2026-01-01T08:17:06.08
t121,inspect,m13,m13_s3,segment,r1,auction,2026-01-01T08:07:25.32,e289,2026-01-01T08:17:51.13,2026-01-01T08:18:01.72
t34,spray,m4,m4_s2,segment,r2,auction,2026-01-01T08:07:39.83,e293,2026-01-01T08:08:58.23,2026-01-01T08:09:13.23
