objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
segment,m5_s3,e76,e272,r1,r6
segment,m6_s1,e173,e463,r3,r8
segment,m6_s2,e177,e472,r1,r2
segment,m6_s2,e472,e495,r2,r8
segment,m6_s3,e181,e440,r7,r8
segment,m7_s1,e120,e345,r1,r6
segment,m7_s1,e345,e449,r6,r8
segment,m7_s2,e124,e319,r5,r4
segment,m7_s3,e128,e444,r3,r6
segment,m7_s3,e444,e481,r6,r8
segment,m8_s1,e195,e515,r1,r8
segment,m8_s2,e199,e476,r5,r2
segment,m8_s2,e476,e510,r2,r8
segment,m8_s3,e203,e468,r7,r4
segment,m9_s1,e224,e523,r3,r6
segment,m9_s1,e523,e558,r6,r1
segment,m9_s2,e228,e505,r5,r4
segment,m9_s3,e232,e536,r7,r6
segment,m9_s3,e536,e581,r6,r4
