event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
124,Control,move_to,2026-08-27T19:17:23.810925,2026-08-27T19:17:43.816460,robot8,m2,m2_s1
125,Task,final_room_check,2026-08-27T19:17:43.819430,2026-08-27T19:17:52.826690,robot8,m2,m2_s1
126,Control,move_to,2026-08-27T19:18:20.820835,2026-08-27T19:18:29.753966,robot8,m2,m2_s8
127,Task,final_room_check,2026-08-27T19:18:29.755967,2026-08-27T19:18:40.263944,robot8,m2,m2_s8
128,Control,undock,2026-08-27T19:14:50.833009,2026-08-27T19:14:54.837042,robot9,m2,m2_s4
129,Control,move_to,2026-08-27T19:14:54.838443,2026-08-27T19:15:18.929217,robot9,m2,m2_s4
130,Task,check_room,2026-08-27T19:15:18.931909,2026-08-27T19:15:24.939405,robot9,m2,m2_s4
131,Task,mop,2026-08-27T19:16:14.849642,2026-08-27T19:16:36.859010,robot9,m2,m2_s4
132,Control,move_to,2026-08-27T19:16:50.816642,2026-08-27T19:16:59.769100,robot9,m2,m2_s6
133,Task,mop,2026-08-27T19:16:59.771746,2026-08-27T19:17:32.780062,robot9,m2,m2_s6
134,Control,undock,2026-08-27T19:24:49.520264,2026-08-27T19:24:53.523309,robot1,m3,m3_s5
135,Control,move_to,2026-08-27T19:24:53.524150,2026-08-27T19:25:18.269685,robot1,m3,m3_s5
136,Task,check_room,2026-08-27T19:25:18.271585,2026-08-27T19:25:25.777493,robot1,m3,m3_s5
137,Control,move_to,2026-08-27T19:25:26.520825,2026-08-27T19:25:41.087879,robot1,m3,m3_s2
138,Task,vacuum,2026-08-27T19:25:41.089879,2026-08-27T19:25:51.597840,robot1,m3,m3_s2
139,Control,move_to,2026-08-27T19:25:52.518790,2026-08-27T19:25:56.998546,robot1,m3,m3_s4
140,Task,vacuum,2026-08-27T19:25:57.001402,2026-08-27T19:26:11.009151,robot1,m3,m3_s4
141,Control,move_to,2026-08-27T19:26:11.512600,2026-08-27T19:26:14.347244,robot1,m3,m3_s7
142,Task,vacuum,2026-08-27T19:26:14.350252,2026-08-27T19:26:24.859834,robot1,m3,m3_s7
143,Control,move_to,2026-08-27T19:26:25.516794,2026-08-27T19:26:39.662278,robot1,m3,m3_s8
144,Task,vacuum,2026-08-27T19:26:39.662962,2026-08-27T19:27:04.165352,robot1,m3,m3_s8
145,Control,move_to,2026-08-27T19:27:04.504980,2026-08-27T19:27:22.623012,robot1,m3,m3_s3
146,Task,disinfect,2026-08-27T19:27:22.625058,2026-08-27T19:27:36.630129,robot1,m3,m3_s3
147,Task,final_room_check,2026-08-27T19:27:39.514495,2026-08-27T19:27:50.022404,robot1,m3,m3_s3
148,Control,move_to,2026-08-27T19:27:50.499771,2026-08-27T19:28:39.332304,robot1,m3,m3_s11
149,Task,vacuum,2026-08-27T19:28:39.334558,2026-08-27T19:29:00.342048,robot1,m3,m3_s11
150,Control,move_to,2026-08-27T19:29:00.515725,2026-08-27T19:29:15.081763,robot1,m3,m3_s14
151,Task,vacuum,2026-08-27T19:29:15.084100,2026-08-27T19:29:29.091167,robot1,m3,m3_s14
152,Control,move_to,2026-08-27T19:29:47.514024,2026-08-27T19:29:56.464506,robot1,m3,m3_s11
153,Task,disinfect,2026-08-27T19:29:56.466280,2026-08-27T19:30:08.473348,robot1,m3,m3_s11
154,Control,move_to,2026-08-27T19:30:13.529094,2026-08-27T19:30:28.769195,robot1,m3,m3_s12
155,Task,disinfect,2026-08-27T19:30:28.771997,2026-08-27T19:30:34.781033,robot1,m3,m3_s12
156,Control,move_to,2026-08-27T19:30:37.534639,2026-08-27T19:31:12.471888,robot1,m3,m3_s13
157,Task,disinfect,2026-08-27T19:31:12.474874,2026-08-27T19:31:26.481794,robot1,m3,m3_s13
158,Control,undock,2026-08-27T19:24:49.519875,2026-08-27T19:24:53.523416,robot2,m3,m3_s6
159,Control,move_to,2026-08-27T19:24:53.524127,2026-08-27T19:25:20.363235,robot2,m3,m3_s6
160,Task,check_room,2026-08-27T19:25:20.365417,2026-08-27T19:25:29.371663,robot2,m3,m3_s6
161,Control,move_to,2026-08-27T19:25:29.506887,2026-08-27T19:25:41.175032,robot2,m3,m3_s3
162,Task,vacuum,2026-08-27T19:25:41.176714,2026-08-27T19:26:05.683586,robot2,m3,m3_s3
163,Control,move_to,2026-08-27T19:26:06.524799,2026-08-27T19:26:25.501100,robot2,m3,m3_s6
164,Task,vacuum,2026-08-27T19:26:25.502086,2026-08-27T19:26:46.506919,robot2,m3,m3_s6
165,Control,move_to,2026-08-27T19:26:47.528233,2026-08-27T19:27:17.544408,robot2,m3,m3_s10
166,Task,vacuum,2026-08-27T19:27:17.545331,2026-08-27T19:27:35.050268,robot2,m3,m3_s10
167,Control,move_to,2026-08-27T19:27:35.501947,2026-08-27T19:28:10.491589,robot2,m3,m3_s6
168,Task,disinfect,2026-08-27T19:28:10.492779,2026-08-27T19:28:22.500241,robot2,m3,m3_s6
169,Control,move_to,2026-08-27T19:28:23.508970,2026-08-27T19:29:02.910568,robot2,m3,m3_s12
170,Task,vacuum,2026-08-27T19:29:02.913505,2026-08-27T19:29:13.421685,robot2,m3,m3_s12
171,Control,move_to,2026-08-27T19:29:13.511298,2026-08-27T19:29:35.514556,robot2,m3,m3_s15
172,Task,vacuum,2026-08-27T19:29:35.515465,2026-08-27T19:29:53.020334,robot2,m3,m3_s15
173,Control,move_to,2026-08-27T19:30:16.505681,2026-08-27T19:30:29.929015,robot2,m3,m3_s14
174,Task,disinfect,2026-08-27T19:30:29.931803,2026-08-27T19:30:37.940919,robot2,m3,m3_s14
175,Control,move_to,2026-08-27T19:30:41.511003,2026-08-27T19:30:57.140699,robot2,m3,m3_s15
176,Task,disinfect,2026-08-27T19:30:57.143546,2026-08-27T19:31:07.151824,robot2,m3,m3_s15
177,Control,undock,2026-08-27T19:24:49.529097,2026-08-27T19:24:53.533516,robot3,m3,m3_s7
178,Control,move_to,2026-08-27T19:24:53.534050,2026-08-27T19:25:16.343087,robot3,m3,m3_s7
179,Task,check_room,2026-08-27T19:25:16.345323,2026-08-27T19:25:20.851887,robot3,m3,m3_s7
180,Control,move_to,2026-08-27T19:25:21.502465,2026-08-27T19:25:38.712907,robot3,m3,m3_s1
181,Task,vacuum,2026-08-27T19:25:38.715159,2026-08-27T19:25:59.723701,robot3,m3,m3_s1
182,Control,move_to,2026-08-27T19:26:00.503876,2026-08-27T19:26:16.637603,robot3,m3,m3_s5
183,Task,vacuum,2026-08-27T19:26:16.640475,2026-08-27T19:26:34.148432,robot3,m3,m3_s5
