task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t131,inspect,m14,m14_s3,segment,r3,random,2026-01-01T08:08:25.75,e255,2026-01-01T08:36:35.41,2026-01-01T08:36:47.41
t65,spray,m7,m7_s3,segment,r2,random,2026-01-01T08:09:46.84,e259,2026-01-01T08:10:59.32,2026-01-01T08:11:18.88
t154,inspect,m17,m17_s1,segment,r5,random,2026-01-01T08:09:47.59,e263,2026-01-01T08:37:58.95,2026-01-01T08:38:09.03
t157,inspect,m17,m17_s2,segment,r3,random,2026-01-01T08:09:47.59,e267,2026-01-01T08:39:17.22,2026-01-01T08:39:27.87
t159,inspect,m17,m17_s3,segment,r1,random,2026-01-01T08:09:47.59,e274,2026-01-01T08:31:51.30,2026-01-01T08:32:01.33
t107,inspect,m12,m12_s1,segment,r7,random,2026-01-01T08:10:06.69,e278,2026-01-01T08:23:34.55,2026-01-01T08:23:44.29
t109,inspect,m12,m12_s2,segment,r3,random,2026-01-01T08:10:06.69,e282,2026-01-01T08:42:26.52,2026-01-01T08:42:38.95
t112,inspect,m12,m12_s3,segment,r5,random,2026-01-01T08:10:06.69,e286,2026-01-01T08:39:42.98,2026-01-01T08:39:57.17
t66,harvest,m7,m7_s3,segment,r5,random,2026-01-01T08:11:18.88,e291,2026-01-01T08:41:08.97,2026-01-01T08:41:37.41
t44,harvest,m5,m5_s2,segment,r5,random,2026-01-01T08:11:23.70,e296,2026-01-01T08:43:06.37,2026-01-01T08:43:28.59
t164,inspect,m18,m18_s1,segment,r5,random,2026-01-01T08:11:35.61,e300,2026-01-01T08:44:56.47,2026-01-01T08:45:06.70
t166,inspect,m18,m18_s2,segment,r3,random,2026-01-01T08:11:35.61,e304,2026-01-01T08:44:42.44,2026-01-01T08:44:53.15
t169,inspect,m18,m18_s3,segment,r7,random,2026-01-01T08:11:35.61,e308,2026-01-01T08:25:25.19,2026-01-01T08:25:39.20
t135,inspect,m15,m15_s1,segment,r7,random,2026-01-01T08:11:54.32,e312,2026-01-01T08:27:43.96,2026-01-01T08:27:55.31
t138,inspect,m15,m15_s2,segment,r5,random,2026-01-01T08:11:54.32,e316,2026-01-01T08:46:23.53,2026-01-01T08:46:35.68
t140,inspect,m15,m15_s3,segment,r3,random,2026-01-01T08:11:54.32,e320,2026-01-01T08:46:27.34,2026-01-01T08:46:38.76
t25,harvest,m3,m3_s2,segment,r5,random,2026-01-01T08:12:16.22,e325,2026-01-01T08:49:36.39,2026-01-01T08:49:59.81
t63,harvest,m7,m7_s2,segment,r4,random,2026-01-01T08:12:52.63,e330,2026-01-01T08:13:32.52,2026-01-01T08:13:55.37
t13,harvest,m2,m2_s1,segment,r8,random,2026-01-01T08:13:06.64,e335,2026-01-01T08:15:15.97,2026-01-01T08:15:39.66
t32,harvest,m4,m4_s1,segment,r5,random,2026-01-01T08:14:00.10,e340,2026-01-01T08:50:13.82,2026-01-01T08:50:35.49
t145,inspect,m16,m16_s1,segment,r1,random,2026-01-01T08:14:07.90,e344,2026-01-01T08:34:06.18,2026-01-01T08:34:16.18
t147,inspect,m16,m16_s2,segment,r7,random,2026-01-01T08:14:07.90,e348,2026-01-01T08:30:29.89,2026-01-01T08:30:40.09
t150,inspect,m16,m16_s3,segment,r3,random,2026-01-01T08:14:07.90,e352,2026-01-01T08:48:32.53,2026-01-01T08:48:44.51
t173,inspect,m19,m19_s1,segment,r1,random,2026-01-01T08:14:15.40,e356,2026-01-01T08:35:32.45,2026-01-01T08:35:46.43
t176,inspect,m19,m19_s2,segment,r5,random,2026-01-01T08:14:15.40,e360,2026-01-01T08:53:32.13,2026-01-01T08:53:41.74
t178,inspect,m19,m19_s3,segment,r3,random,2026-01-01T08:14:15.40,e364,2026-01-01T08:50:05.52,2026-01-01T08:50:19.22
t15,spray,m2,m2_s2,segment,r7,random,2026-01-01T08:14:24.67,e371,2026-01-01T08:33:32.10,2026-01-01T08:33:49.19
t72,spray,m8,m8_s2,segment,r7,random,2026-01-01T08:15:16.66,e375,2026-01-01T08:35:09.38,2026-01-01T08:35:25.34
t183,inspect,m20,m20_s1,segment,r5,random,2026-01-01T08:15:39.81,e379,2026-01-01T08:57:00.58,2026-01-01T08:57:13.60
t185,inspect,m20,m20_s2,segment,r7,random,2026-01-01T08:15:39.81,e383,2026-01-01T08:36:00.93,2026-01-01T08:36:14.63
t188,inspect,m20,m20_s3,segment,r3,random,2026-01-01T08:15:39.81,e387,2026-01-01T08:50:45.84,2026-01-01T08:50:58.09
t60,spray,m7,m7_s1,segment,r2,random,2026-01-01T08:17:17.18,e391,2026-01-01T08:18:52.44,2026-01-01T08:19:08.40
t34,spray,m4,m4_s2,segment,r7,random,2026-01-01T08:17:30.36,e395,2026-01-01T08:37:46.54,2026-01-01T08:38:01.54
t79,spray,m9,m9_s1,segment,r2,random,2026-01-01T08:17:41.02,e399,2026-01-01T08:21:24.56,2026-01-01T08:21:39.75
t41,spray,m5,m5_s1,segment,r3,random,2026-01-01T08:18:19.20,e403,2026-01-01T08:52:07.06,2026-01-01T08:52:27.34
t46,spray,m5,m5_s3,segment,r2,random,2026-01-01T08:18:31.69,e407,2026-01-01T08:23:42.13,2026-01-01T08:23:59.25
t61,harvest,m7,m7_s1,segment,r5,random,2026-01-01T08:19:08.40,e412,2026-01-01T08:58:36.77,2026-01-01T08:59:03.83
t75,harvest,m8,m8_s3,segment,r5,random,2026-01-01T08:19:40.49,e417,2026-01-01T09:00:44.94,2026-01-01T09:01:06.49
t56,harvest,m6,m6_s3,segment,r1,random,2026-01-01T08:19:56.42,e422,2026-01-01T08:37:41.99,2026-01-01T08:38:02.05
t27,spray,m3,m3_s3,segment,r3,random,2026-01-01T08:20:08.63,e426,2026-01-01T08:54:06.68,2026-01-01T08:54:27.37
t22,spray,m3,m3_s1,segment,r6,random,2026-01-01T08:20:59.35,e430,2026-01-01T08:22:26.67,2026-01-01T08:22:43.56
t98,spray,m11,m11_s1,segment,r7,random,2026-01-01T08:21:27.86,e434,2026-01-01T08:38:38.49,2026-01-01T08:38:59.18
t80,harvest,m9,m9_s1,segment,r5,random,2026-01-01T08:21:39.75,e439,2026-01-01T09:03:57.59,2026-01-01T09:04:22.33
t120,harvest,m13,m13_s2,segment,r8,random,2026-01-01T08:21:59.07,e444,2026-01-01T08:23:24.07,2026-01-01T08:23:52.71
t9,harvest,m1,m1_s3,segment,r4,random,2026-01-01T08:22:06.16,e449,2026-01-01T08:23:57.23,2026-01-01T08:24:24.58
t23,harvest,m3,m3_s1,segment,r5,random,2026-01-01T08:22:43.56,e457,2026-01-01T09:06:57.86,2026-01-01T09:07:19.47
t89,harvest,m10,m10_s1,segment,r8,random,2026-01-01T08:22:55.46,e462,2026-01-01T08:24:41.31,2026-01-01T08:25:09.31
