objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
segment,r5,e296,e300,m5_s2,m18_s1
segment,r5,e300,e316,m18_s1,m15_s2
segment,r5,e316,e325,m15_s2,m3_s2
segment,r5,e325,e340,m3_s2,m4_s1
segment,r5,e340,e360,m4_s1,m19_s2
segment,r5,e360,e379,m19_s2,m20_s1
segment,r5,e379,e412,m20_s1,m7_s1
segment,r5,e412,e417,m7_s1,m8_s3
segment,r5,e417,e439,m8_s3,m9_s1
segment,r5,e439,e457,m9_s1,m3_s1
segment,r5,e457,e467,m3_s1,m2_s3
segment,r5,e467,e482,m2_s3,m1_s1
segment,r5,e482,e511,m1_s1,m11_s2
segment,r5,e511,e569,m11_s2,m9_s2
segment,r5,e569,e574,m9_s2,m2_s2
segment,r5,e574,e584,m2_s2,m16_s1
segment,r5,e584,e593,m16_s1,m8_s2
segment,r5,e593,e615,m8_s2,m17_s3
segment,r5,e615,e654,m17_s3,m17_s1
segment,r5,e654,e752,m17_s1,m19_s3
segment,r5,e773,e778,m11_s3,m20_s1
segment,r5,e778,e803,m20_s1,m15_s3
segment,r6,e430,e501,m3_s1,m13_s3
segment,r6,e501,e515,m13_s3,m15_s1
segment,r6,e515,e543,m15_s1,m13_s1
segment,r6,e543,e547,m13_s1,m16_s2
segment,r6,e547,e556,m16_s2,m17_s3
segment,r6,e556,e564,m17_s3,m10_s2
segment,r6,e564,e588,m10_s2,m6_s2
segment,r6,e588,e605,m6_s2,m20_s2
segment,r7,e112,e124,m5_s2,m3_s2
segment,r7,e124,e132,m3_s2,m2_s1
segment,r7,e132,e157,m2_s1,m4_s1
segment,r7,e157,e173,m4_s1,m8_s2
segment,r7,e173,e208,m8_s2,m9_s1
segment,r7,e208,e228,m9_s1,m6_s3
segment,r7,e228,e232,m6_s3,m11_s1
segment,r7,e232,e278,m11_s1,m12_s1
segment,r7,e278,e308,m12_s1,m18_s3
segment,r7,e308,e312,m18_s3,m15_s1
segment,r7,e312,e348,m15_s1,m16_s2
segment,r7,e348,e371,m16_s2,m2_s2
segment,r7,e371,e375,m2_s2,m8_s2
segment,r7,e375,e383,m8_s2,m20_s2
segment,r7,e383,e395,m20_s2,m4_s2
segment,r7,e395,e434,m4_s2,m11_s1
segment,r7,e434,e529,m11_s1,m9_s3
segment,r7,e529,e601,m9_s3,m19_s1
