objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m15,m3,,2026-01-01T08:09:36.59,2026-01-01T08:30:18.05
mission,m15,m4,,2026-01-01T08:09:36.59,2026-01-01T08:27:43.25
mission,m15,m5,,2026-01-01T08:09:36.59,2026-01-01T08:28:33.23
mission,m15,m6,,2026-01-01T08:09:36.59,2026-01-01T08:31:48.69
mission,m15,m7,,2026-01-01T08:09:36.59,2026-01-01T08:30:59.52
mission,m15,m8,,2026-01-01T08:09:36.59,2026-01-01T08:32:57.27
mission,m15,m9,,2026-01-01T08:09:36.59,2026-01-01T08:35:33.39
mission,m16,m17,,2026-01-01T08:11:04.59,2026-01-01T08:41:56.63
mission,m16,m18,,2026-01-01T08:11:28.99,2026-01-01T08:41:56.63
mission,m16,m19,,2026-01-01T08:11:51.98,2026-01-01T08:41:56.63
mission,m16,m2,,2026-01-01T08:09:58.32,2026-01-01T08:21:20.82
mission,m16,m20,,2026-01-01T08:11:47.88,2026-01-01T08:41:56.63
mission,m16,m3,,2026-01-01T08:09:58.32,2026-01-01T08:30:18.05
mission,m16,m4,,2026-01-01T08:09:58.32,2026-01-01T08:27:43.25
mission,m16,m5,,2026-01-01T08:09:58.32,2026-01-01T08:28:33.23
mission,m16,m6,,2026-01-01T08:09:58.32,2026-01-01T08:31:48.69
mission,m16,m7,,2026-01-01T08:09:58.32,2026-01-01T08:30:59.52
mission,m16,m8,,2026-01-01T08:09:58.32,2026-01-01T08:32:57.27
mission,m16,m9,,2026-01-01T08:09:58.32,2026-01-01T08:35:33.39
mission,m17,m18,,2026-01-01T08:11:28.99,2026-01-01T08:44:33.82
mission,m17,m19,,2026-01-01T08:11:51.98,2026-01-01T08:44:33.82
mission,m17,m2,,2026-01-01T08:11:04.59,2026-01-01T08:21:20.82
mission,m17,m20,,2026-01-01T08:11:47.88,2026-01-01T08:43:54.25
mission,m17,m3,,2026-01-01T08:11:04.59,2026-01-01T08:30:18.05
mission,m17,m4,,2026-01-01T08:11:04.59,2026-01-01T08:27:43.25
mission,m17,m5,,2026-01-01T08:11:04.59,2026-01-01T08:28:33.23
mission,m17,m6,,2026-01-01T08:11:04.59,2026-01-01T08:31:48.69
mission,m17,m7,,2026-01-01T08:11:04.59,2026-01-01T08:30:59.52
mission,m17,m8,,2026-01-01T08:11:04.59,2026-01-01T08:32:57.27
mission,m17,m9,,2026-01-01T08:11:04.59,2026-01-01T08:35:33.39
mission,m18,m19,,2026-01-01T08:11:51.98,2026-01-01T08:45:32.41
mission,m18,m2,,2026-01-01T08:11:28.99,2026-01-01T08:21:20.82
mission,m18,m20,,2026-01-01T08:11:47.88,2026-01-01T08:43:54.25
mission,m18,m3,,2026-01-01T08:11:28.99,2026-01-01T08:30:18.05
mission,m18,m4,,2026-01-01T08:11:28.99,2026-01-01T08:27:43.25
mission,m18,m5,,2026-01-01T08:11:28.99,2026-01-01T08:28:33.23
mission,m18,m6,,2026-01-01T08:11:28.99,2026-01-01T08:31:48.69
mission,m18,m7,,2026-01-01T08:11:28.99,2026-01-01T08:30:59.52
mission,m18,m8,,2026-01-01T08:11:28.99,2026-01-01T08:32:57.27
mission,m18,m9,,2026-01-01T08:11:28.99,2026-01-01T08:35:33.39
mission,m19,m2,,2026-01-01T08:11:51.98,2026-01-01T08:21:20.82
mission,m19,m20,,2026-01-01T08:11:51.98,2026-01-01T08:43:54.25
mission,m19,m3,,2026-01-01T08:11:51.98,2026-01-01T08:30:18.05
mission,m19,m4,,2026-01-01T08:11:51.98,2026-01-01T08:27:43.25
mission,m19,m5,,2026-01-01T08:11:51.98,2026-01-01T08:28:33.23
mission,m19,m6,,2026-01-01T08:11:51.98,2026-01-01T08:31:48.69
mission,m19,m7,,2026-01-01T08:11:51.98,2026-01-01T08:30:59.52
mission,m19,m8,,2026-01-01T08:11:51.98,2026-01-01T08:32:57.27
mission,m19,m9,,2026-01-01T08:11:51.98,2026-01-01T08:35:33.39
mission,m2,m20,,2026-01-01T08:11:47.88,2026-01-01T08:21:20.82
mission,m2,m3,,2026-01-01T08:02:06.85,2026-01-01T08:21:20.82
mission,m2,m4,,2026-01-01T08:01:31.92,2026-01-01T08:21:20.82
mission,m2,m5,,2026-01-01T08:01:19.67,2026-01-01T08:21:20.82
mission,m2,m6,,2026-01-01T08:03:37.02,2026-01-01T08:21:20.82
mission,m2,m7,,2026-01-01T08:02:06.60,2026-01-01T08:21:20.82
