perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
segment,m16_s2,e649,t148,r2,e692,t149,r8
segment,m16_s3,e373,t150,r1,e654,t151,r8
segment,m17_s1,e394,t154,r5,e705,t155,r6
segment,m17_s1,e705,t155,r6,e756,t156,r4
segment,m17_s2,e398,t157,r7,e677,t158,r4
segment,m17_s3,e402,t159,r1,e672,t160,r2
segment,m17_s3,e672,t160,r2,e747,t161,r1
segment,m18_s1,e410,t164,r3,e719,t165,r8
segment,m18_s2,e414,t166,r1,e709,t167,r2
segment,m18_s2,e709,t167,r2,e780,t168,r8
segment,m18_s3,e418,t169,r7,e701,t170,r1
segment,m19_s1,e444,t173,r5,e751,t174,r6
segment,m19_s1,e751,t174,r6,e789,t175,r4
segment,m19_s2,e448,t176,r1,e738,t177,r8
segment,m19_s3,e452,t178,r3,e742,t179,r2
segment,m19_s3,e742,t179,r2,e794,t180,r1
segment,m1_s1,e24,t2,r7,e157,t3,r2
segment,m1_s1,e157,t3,r2,e186,t4,r8
segment,m1_s2,e28,t5,r3,e149,t6,r8
segment,m1_s3,e32,t7,r1,e169,t8,r2
segment,m1_s3,e169,t8,r2,e277,t9,r8
segment,m20_s1,e432,t183,r5,e724,t184,r4
segment,m20_s2,e436,t185,r7,e728,t186,r6
segment,m20_s2,e728,t186,r6,e775,t187,r4
segment,m20_s3,e440,t188,r3,e733,t189,r1
segment,m2_s1,e44,t12,r7,e196,t13,r8
segment,m2_s2,e48,t14,r5,e161,t15,r6
segment,m2_s2,e161,t15,r6,e262,t16,r8
segment,m2_s3,e52,t17,r3,e191,t18,r4
segment,m3_s1,e108,t21,r3,e313,t22,r6
segment,m3_s1,e313,t22,r6,e428,t23,r8
segment,m3_s2,e112,t24,r7,e345,t25,r4
segment,m3_s3,e116,t26,r1,e309,t27,r2
segment,m3_s3,e309,t27,r2,e423,t28,r4
segment,m4_s1,e84,t31,r7,e267,t32,r4
segment,m4_s2,e88,t33,r1,e293,t34,r2
segment,m4_s2,e293,t34,r2,e390,t35,r8
segment,m4_s3,e92,t36,r5,e272,t37,r4
segment,m5_s1,e68,t40,r1,e257,t41,r2
segment,m5_s1,e257,t41,r2,e335,t42,r4
segment,m5_s2,e72,t43,r7,e225,t44,r4
segment,m5_s3,e76,t45,r3,e229,t46,r6
segment,m5_s3,e229,t46,r6,e340,t47,r8
segment,m6_s1,e173,t50,r1,e490,t51,r8
segment,m6_s2,e177,t52,r5,e385,t53,r6
segment,m6_s2,e385,t53,r6,e504,t54,r5
segment,m6_s3,e181,t55,r3,e466,t56,r4
segment,m7_s1,e120,t59,r5,e377,t60,r6
segment,m7_s1,e377,t60,r6,e480,t61,r8
segment,m7_s2,e124,t62,r1,e318,t63,r4
segment,m7_s3,e128,t64,r3,e381,t65,r2
segment,m7_s3,e381,t65,r2,e475,t66,r4
segment,m8_s1,e200,t69,r3,e485,t70,r4
segment,m8_s2,e204,t71,r5,e406,t72,r6
segment,m8_s2,e406,t72,r6,e509,t73,r4
segment,m8_s3,e208,t74,r7,e461,t75,r8
segment,m9_s1,e233,t78,r7,e528,t79,r2
segment,m9_s1,e528,t79,r2,e582,t80,r8
segment,m9_s2,e237,t81,r3,e514,t82,r1
segment,m9_s3,e241,t83,r5,e499,t84,r2
segment,m9_s3,e499,t84,r2,e562,t85,r8
robot,r1,e12,t20,r1,e32,t7,r1
robot,r1,e32,t7,r1,e36,t49,r1
robot,r1,e36,t49,r1,e68,t40,r1
robot,r1,e68,t40,r1,e88,t33,r1
robot,r1,e88,t33,r1,e116,t26,r1
robot,r1,e116,t26,r1,e124,t62,r1
robot,r1,e124,t62,r1,e132,t134,r1
robot,r1,e132,t134,r1,e136,t144,r1
robot,r1,e136,t144,r1,e144,t163,r1
robot,r1,e144,t163,r1,e173,t50,r1
robot,r1,e173,t50,r1,e220,t93,r1
robot,r1,e220,t93,r1,e245,t97,r1
robot,r1,e245,t97,r1,e289,t121,r1
robot,r1,e289,t121,r1,e322,t126,r1
robot,r1,e322,t126,r1,e349,t135,r1
robot,r1,e349,t135,r1,e373,t150,r1
robot,r1,e373,t150,r1,e402,t159,r1
robot,r1,e402,t159,r1,e414,t166,r1
robot,r1,e414,t166,r1,e448,t176,r1
robot,r1,e448,t176,r1,e495,t89,r1
robot,r1,e495,t89,r1,e514,t82,r1
robot,r1,e514,t82,r1,e570,t104,r1
robot,r1,e570,t104,r1,e619,t113,r1
robot,r1,e619,t113,r1,e641,t99,r1
robot,r1,e641,t99,r1,e682,t137,r1
robot,r1,e682,t137,r1,e701,t170,r1
robot,r1,e701,t170,r1,e733,t189,r1
robot,r1,e733,t189,r1,e747,t161,r1
robot,r1,e747,t161,r1,e794,t180,r1
robot,r2,e157,t3,r2,e169,t8,r2
robot,r2,e169,t8,r2,e257,t41,r2
robot,r2,e257,t41,r2,e293,t34,r2
robot,r2,e293,t34,r2,e309,t27,r2
robot,r2,e309,t27,r2,e381,t65,r2
robot,r2,e381,t65,r2,e456,t91,r2
robot,r2,e456,t91,r2,e499,t84,r2
robot,r2,e499,t84,r2,e528,t79,r2
robot,r2,e528,t79,r2,e548,t117,r2
robot,r2,e548,t117,r2,e574,t122,r2
robot,r2,e574,t122,r2,e591,t110,r2
robot,r2,e591,t110,r2,e649,t148,r2
robot,r2,e649,t148,r2,e672,t160,r2
robot,r2,e672,t160,r2,e709,t167,r2
robot,r2,e709,t167,r2,e742,t179,r2
robot,r3,e8,t11,r3,e28,t5,r3
robot,r3,e28,t5,r3,e52,t17,r3
robot,r3,e52,t17,r3,e76,t45,r3
robot,r3,e76,t45,r3,e100,t115,r3
robot,r3,e100,t115,r3,e108,t21,r3
robot,r3,e108,t21,r3,e128,t64,r3
robot,r3,e128,t64,r3,e153,t172,r3
robot,r3,e153,t172,r3,e181,t55,r3
robot,r3,e181,t55,r3,e200,t69,r3
robot,r3,e200,t69,r3,e237,t81,r3
robot,r3,e237,t81,r3,e253,t102,r3
robot,r3,e253,t102,r3,e297,t107,r3
robot,r3,e297,t107,r3,e326,t128,r3
robot,r3,e326,t128,r3,e353,t138,r3
robot,r3,e353,t138,r3,e361,t19,r3
robot,r3,e361,t19,r3,e365,t145,r3
robot,r3,e365,t145,r3,e410,t164,r3
robot,r3,e410,t164,r3,e440,t188,r3
robot,r3,e440,t188,r3,e452,t178,r3
robot,r3,e452,t178,r3,e536,t48,r3
robot,r3,e536,t48,r3,e696,t67,r3
robot,r3,e696,t67,r3,e770,t76,r3
robot,r3,e770,t76,r3,e784,t95,r3
robot,r3,e784,t95,r3,e802,t133,r3
robot,r3,e802,t133,r3,e814,t114,r3
robot,r3,e814,t114,r3,e826,t190,r3
robot,r3,e826,t190,r3,e830,t162,r3
robot,r3,e830,t162,r3,e838,t181,r3
robot,r4,e191,t18,r4,e225,t44,r4
robot,r4,e225,t44,r4,e267,t32,r4
robot,r4,e267,t32,r4,e272,t37,r4
robot,r4,e272,t37,r4,e318,t63,r4
robot,r4,e318,t63,r4,e335,t42,r4
robot,r4,e335,t42,r4,e345,t25,r4
robot,r4,e345,t25,r4,e423,t28,r4
robot,r4,e423,t28,r4,e466,t56,r4
robot,r4,e466,t56,r4,e475,t66,r4
robot,r4,e475,t66,r4,e485,t70,r4
robot,r4,e485,t70,r4,e509,t73,r4
robot,r4,e509,t73,r4,e553,t108,r4
robot,r4,e553,t108,r4,e600,t127,r4
robot,r4,e600,t127,r4,e609,t118,r4
robot,r4,e609,t118,r4,e636,t139,r4
robot,r4,e636,t139,r4,e677,t158,r4
robot,r4,e677,t158,r4,e724,t184,r4
robot,r4,e724,t184,r4,e756,t156,r4
robot,r4,e756,t156,r4,e775,t187,r4
robot,r4,e775,t187,r4,e789,t175,r4
robot,r5,e4,t1,r5,e16,t30,r5
robot,r5,e16,t30,r5,e40,t58,r5
robot,r5,e40,t58,r5,e48,t14,r5
robot,r5,e48,t14,r5,e56,t68,r5
robot,r5,e56,t68,r5,e60,t77,r5
robot,r5,e60,t77,r5,e92,t36,r5
robot,r5,e92,t36,r5,e104,t125,r5
robot,r5,e104,t125,r5,e120,t59,r5
robot,r5,e120,t59,r5,e177,t52,r5
robot,r5,e177,t52,r5,e204,t71,r5
robot,r5,e204,t71,r5,e216,t90,r5
robot,r5,e216,t90,r5,e241,t83,r5
robot,r5,e241,t83,r5,e249,t100,r5
