pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,mission,m5,e229,e335,r6,r4,,,,,,,,,,,,,,
handover,mission,m5,e257,e335,r2,r4,,,,,,,,,,,,,,
handover,mission,m5,e335,e340,r4,r8,,,,,,,,,,,,,,
handover,mission,m5,e340,e536,r8,r3,,,,,,,,,,,,,,
handover,mission,m5,e68,e225,r1,r4,,,,,,,,,,,,,,
handover,mission,m5,e72,e76,r7,r3,,,,,,,,,,,,,,
handover,mission,m5,e76,e68,r3,r1,,,,,,,,,,,,,,
handover,mission,m6,e173,e385,r1,r6,,,,,,,,,,,,,,
handover,mission,m6,e177,e181,r5,r3,,,,,,,,,,,,,,
handover,mission,m6,e181,e173,r3,r1,,,,,,,,,,,,,,
handover,mission,m6,e36,e177,r1,r5,,,,,,,,,,,,,,
handover,mission,m6,e385,e466,r6,r4,,,,,,,,,,,,,,
handover,mission,m6,e466,e490,r4,r8,,,,,,,,,,,,,,
handover,mission,m6,e490,e504,r8,r5,,,,,,,,,,,,,,
handover,mission,m6,e504,e763,r5,r7,,,,,,,,,,,,,,
handover,mission,m7,e120,e318,r5,r4,,,,,,,,,,,,,,
handover,mission,m7,e124,e120,r1,r5,,,,,,,,,,,,,,
handover,mission,m7,e124,e128,r1,r3,,,,,,,,,,,,,,
handover,mission,m7,e128,e318,r3,r4,,,,,,,,,,,,,,
handover,mission,m7,e318,e377,r4,r6,,,,,,,,,,,,,,
handover,mission,m7,e318,e381,r4,r2,,,,,,,,,,,,,,
handover,mission,m7,e377,e475,r6,r4,,,,,,,,,,,,,,
handover,mission,m7,e381,e475,r2,r4,,,,,,,,,,,,,,
handover,mission,m7,e40,e124,r5,r1,,,,,,,,,,,,,,
handover,mission,m7,e475,e480,r4,r8,,,,,,,,,,,,,,
handover,mission,m7,e480,e696,r8,r3,,,,,,,,,,,,,,
handover,mission,m8,e200,e406,r3,r6,,,,,,,,,,,,,,
handover,mission,m8,e204,e208,r5,r7,,,,,,,,,,,,,,
handover,mission,m8,e208,e200,r7,r3,,,,,,,,,,,,,,
handover,mission,m8,e406,e461,r6,r8,,,,,,,,,,,,,,
handover,mission,m8,e461,e485,r8,r4,,,,,,,,,,,,,,
handover,mission,m8,e509,e770,r4,r3,,,,,,,,,,,,,,
handover,mission,m9,e233,e499,r7,r2,,,,,,,,,,,,,,
