task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t166,inspect,m18,m18_s2,segment,r1,hungarian,2026-01-01T08:11:37.17,e414,2026-01-01T08:24:42.03,2026-01-01T08:24:52.74
t169,inspect,m18,m18_s3,segment,r7,hungarian,2026-01-01T08:11:37.17,e418,2026-01-01T08:24:06.85,2026-01-01T08:24:20.86
t28,harvest,m3,m3_s3,segment,r4,hungarian,2026-01-01T08:11:43.95,e423,2026-01-01T08:19:14.69,2026-01-01T08:19:39.47
t23,harvest,m3,m3_s1,segment,r8,hungarian,2026-01-01T08:11:49.61,e428,2026-01-01T08:20:31.15,2026-01-01T08:20:52.76
t183,inspect,m20,m20_s1,segment,r5,hungarian,2026-01-01T08:11:56.70,e432,2026-01-01T08:25:12.74,2026-01-01T08:25:25.76
t185,inspect,m20,m20_s2,segment,r7,hungarian,2026-01-01T08:11:56.70,e436,2026-01-01T08:25:36.22,2026-01-01T08:25:49.92
t188,inspect,m20,m20_s3,segment,r3,hungarian,2026-01-01T08:11:56.70,e440,2026-01-01T08:25:48.94,2026-01-01T08:26:01.19
t173,inspect,m19,m19_s1,segment,r5,hungarian,2026-01-01T08:12:01.82,e444,2026-01-01T08:27:21.55,2026-01-01T08:27:35.53
t176,inspect,m19,m19_s2,segment,r1,hungarian,2026-01-01T08:12:01.82,e448,2026-01-01T08:25:53.49,2026-01-01T08:26:03.10
t178,inspect,m19,m19_s3,segment,r3,hungarian,2026-01-01T08:12:01.82,e452,2026-01-01T08:26:28.19,2026-01-01T08:26:41.89
t91,spray,m10,m10_s2,segment,r2,hungarian,2026-01-01T08:12:08.28,e456,2026-01-01T08:14:51.50,2026-01-01T08:15:05.98
t75,harvest,m8,m8_s3,segment,r8,hungarian,2026-01-01T08:12:20.67,e461,2026-01-01T08:21:50.81,2026-01-01T08:22:12.36
t56,harvest,m6,m6_s3,segment,r4,hungarian,2026-01-01T08:12:35.75,e466,2026-01-01T08:21:04.05,2026-01-01T08:21:24.11
t10,final_inspection,m1,,mission,r7,hungarian,2026-01-01T08:12:38.49,e470,2026-01-01T08:26:37.35,2026-01-01T08:26:46.09
