event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e221,Control,navigate,2026-01-01T08:06:10.98,2026-01-01T08:07:28.82,r4,,,
e226,Control,navigate,2026-01-01T08:06:20.89,2026-01-01T08:08:55.36,r6,,,
e167,Control,position,2026-01-01T08:06:21.15,2026-01-01T08:06:23.36,r2,,,
e168,Control,activate_sprayer,2026-01-01T08:06:23.36,2026-01-01T08:06:26.79,r2,,,
e90,Control,position,2026-01-01T08:06:26.32,2026-01-01T08:06:28.38,r5,,,
e169,Task,spray,2026-01-01T08:06:26.79,2026-01-01T08:06:47.09,r2,m1,m1_s3,t8
e91,Control,align_camera,2026-01-01T08:06:28.38,2026-01-01T08:06:30.36,r5,,,
e82,Control,position,2026-01-01T08:06:28.42,2026-01-01T08:06:30.13,r7,,,
e83,Control,align_camera,2026-01-01T08:06:30.13,2026-01-01T08:06:31.86,r7,,,
e92,Task,inspect,2026-01-01T08:06:30.36,2026-01-01T08:06:43.67,r5,m4,m4_s3,t36
e84,Task,inspect,2026-01-01T08:06:31.86,2026-01-01T08:06:41.77,r7,m4,m4_s1,t31
e93,Control,navigate,2026-01-01T08:06:41.77,2026-01-01T08:07:55.08,r7,,,
e101,Control,navigate,2026-01-01T08:06:43.67,2026-01-01T08:08:40.63,r5,,,
e254,Control,navigate,2026-01-01T08:06:47.09,2026-01-01T08:08:44.32,r2,,,
e193,Control,position,2026-01-01T08:06:51.11,2026-01-01T08:06:53.42,r8,,,
e194,Control,align_gripper,2026-01-01T08:06:53.42,2026-01-01T08:06:55.30,r8,,,
e195,Control,grasp,2026-01-01T08:06:55.30,2026-01-01T08:06:58.24,r8,,,
e196,Task,harvest,2026-01-01T08:06:58.24,2026-01-01T08:07:21.93,r8,m2,m2_s1,t13
e98,Control,position,2026-01-01T08:07:14.46,2026-01-01T08:07:16.64,r3,,,
e99,Control,align_camera,2026-01-01T08:07:16.64,2026-01-01T08:07:18.43,r3,,,
e100,Task,survey_field,2026-01-01T08:07:18.43,2026-01-01T08:07:27.78,r3,m13,,t115
e258,Control,navigate,2026-01-01T08:07:21.93,2026-01-01T08:09:25.09,r8,,,
e105,Control,navigate,2026-01-01T08:07:27.78,2026-01-01T08:08:10.33,r3,,,
e222,Control,position,2026-01-01T08:07:28.82,2026-01-01T08:07:30.68,r4,,,
e86,Control,position,2026-01-01T08:07:30.00,2026-01-01T08:07:31.83,r1,,,
e223,Control,align_gripper,2026-01-01T08:07:30.68,2026-01-01T08:07:32.87,r4,,,
e87,Control,align_camera,2026-01-01T08:07:31.83,2026-01-01T08:07:33.45,r1,,,
e224,Control,grasp,2026-01-01T08:07:32.87,2026-01-01T08:07:36.32,r4,,,
e88,Task,inspect,2026-01-01T08:07:33.45,2026-01-01T08:07:47.11,r1,m4,m4_s2,t33
e225,Task,harvest,2026-01-01T08:07:36.32,2026-01-01T08:07:58.54,r4,m5,m5_s2,t44
e113,Control,navigate,2026-01-01T08:07:47.11,2026-01-01T08:08:05.46,r1,,,
e94,Control,position,2026-01-01T08:07:55.08,2026-01-01T08:07:57.16,r7,,,
e95,Control,align_camera,2026-01-01T08:07:57.16,2026-01-01T08:07:59.09,r7,,,
e263,Control,navigate,2026-01-01T08:07:58.54,2026-01-01T08:08:39.18,r4,,,
e96,Task,survey_field,2026-01-01T08:07:59.09,2026-01-01T08:08:09.41,r7,m12,,t106
e114,Control,position,2026-01-01T08:08:05.46,2026-01-01T08:08:07.80,r1,,,
e115,Control,align_camera,2026-01-01T08:08:07.80,2026-01-01T08:08:09.48,r1,,,
e109,Control,navigate,2026-01-01T08:08:09.41,2026-01-01T08:09:26.70,r7,,,
e116,Task,inspect,2026-01-01T08:08:09.48,2026-01-01T08:08:20.84,r1,m3,m3_s3,t26
e106,Control,position,2026-01-01T08:08:10.33,2026-01-01T08:08:12.61,r3,,,
e107,Control,align_camera,2026-01-01T08:08:12.61,2026-01-01T08:08:14.51,r3,,,
e108,Task,inspect,2026-01-01T08:08:14.51,2026-01-01T08:08:28.79,r3,m3,m3_s1,t21
e121,Control,navigate,2026-01-01T08:08:20.84,2026-01-01T08:08:34.47,r1,,,
e125,Control,navigate,2026-01-01T08:08:28.79,2026-01-01T08:10:02.44,r3,,,
e122,Control,position,2026-01-01T08:08:34.47,2026-01-01T08:08:36.20,r1,,,
e123,Control,align_camera,2026-01-01T08:08:36.20,2026-01-01T08:08:38.44,r1,,,
e124,Task,inspect,2026-01-01T08:08:38.44,2026-01-01T08:08:50.26,r1,m7,m7_s2,t62
e264,Control,position,2026-01-01T08:08:39.18,2026-01-01T08:08:41.29,r4,,,
e102,Control,position,2026-01-01T08:08:40.63,2026-01-01T08:08:42.27,r5,,,
e265,Control,align_gripper,2026-01-01T08:08:41.29,2026-01-01T08:08:43.19,r4,,,
e103,Control,align_camera,2026-01-01T08:08:42.27,2026-01-01T08:08:44.17,r5,,,
e266,Control,grasp,2026-01-01T08:08:43.19,2026-01-01T08:08:45.92,r4,,,
e104,Task,survey_field,2026-01-01T08:08:44.17,2026-01-01T08:08:55.23,r5,m14,,t125
e255,Control,position,2026-01-01T08:08:44.32,2026-01-01T08:08:46.42,r2,,,
e267,Task,harvest,2026-01-01T08:08:45.92,2026-01-01T08:09:07.59,r4,m4,m4_s1,t32
e256,Control,activate_sprayer,2026-01-01T08:08:46.42,2026-01-01T08:08:49.49,r2,,,
e257,Task,spray,2026-01-01T08:08:49.49,2026-01-01T08:09:09.77,r2,m5,m5_s1,t41
e129,Control,navigate,2026-01-01T08:08:50.26,2026-01-01T08:09:32.79,r1,,,
e117,Control,navigate,2026-01-01T08:08:55.23,2026-01-01T08:09:57.36,r5,,,
e227,Control,position,2026-01-01T08:08:55.36,2026-01-01T08:08:57.65,r6,,,
e228,Control,activate_sprayer,2026-01-01T08:08:57.65,2026-01-01T08:09:00.87,r6,,,
e229,Task,spray,2026-01-01T08:09:00.87,2026-01-01T08:09:17.99,r6,m5,m5_s3,t46
e268,Control,navigate,2026-01-01T08:09:07.59,2026-01-01T08:10:58.33,r4,,,
e290,Control,navigate,2026-01-01T08:09:09.77,2026-01-01T08:10:39.65,r2,,,
e310,Control,navigate,2026-01-01T08:09:17.99,2026-01-01T08:11:27.19,r6,,,
e259,Control,position,2026-01-01T08:09:25.09,2026-01-01T08:09:27.15,r8,,,
e110,Control,position,2026-01-01T08:09:26.70,2026-01-01T08:09:28.78,r7,,,
e260,Control,align_gripper,2026-01-01T08:09:27.15,2026-01-01T08:09:29.01,r8,,,
e111,Control,align_camera,2026-01-01T08:09:28.78,2026-01-01T08:09:30.69,r7,,,
e261,Control,grasp,2026-01-01T08:09:29.01,2026-01-01T08:09:31.92,r8,,,
e112,Task,inspect,2026-01-01T08:09:30.69,2026-01-01T08:09:44.80,r7,m3,m3_s2,t24
e262,Task,harvest,2026-01-01T08:09:31.92,2026-01-01T08:09:54.39,r8,m2,m2_s2,t16
e130,Control,position,2026-01-01T08:09:32.79,2026-01-01T08:09:34.85,r1,,,
e131,Control,align_camera,2026-01-01T08:09:34.85,2026-01-01T08:09:36.59,r1,,,
e132,Task,survey_field,2026-01-01T08:09:36.59,2026-01-01T08:09:46.09,r1,m15,,t134
e137,Control,navigate,2026-01-01T08:09:44.80,2026-01-01T08:10:59.83,r7,,,
e133,Control,navigate,2026-01-01T08:09:46.09,2026-01-01T08:09:54.24,r1,,,
e134,Control,position,2026-01-01T08:09:54.24,2026-01-01T08:09:56.04,r1,,,
e273,Control,navigate,2026-01-01T08:09:54.39,2026-01-01T08:12:03.76,r8,,,
e135,Control,align_camera,2026-01-01T08:09:56.04,2026-01-01T08:09:58.32,r1,,,
e118,Control,position,2026-01-01T08:09:57.36,2026-01-01T08:09:59.61,r5,,,
e136,Task,survey_field,2026-01-01T08:09:58.32,2026-01-01T08:10:10.12,r1,m16,,t144
e119,Control,align_camera,2026-01-01T08:09:59.61,2026-01-01T08:10:01.55,r5,,,
e120,Task,inspect,2026-01-01T08:10:01.55,2026-01-01T08:10:15.44,r5,m7,m7_s1,t59
e126,Control,position,2026-01-01T08:10:02.44,2026-01-01T08:10:04.33,r3,,,
e127,Control,align_camera,2026-01-01T08:10:04.33,2026-01-01T08:10:06.49,r3,,,
e128,Task,inspect,2026-01-01T08:10:06.49,2026-01-01T08:10:20.16,r3,m7,m7_s3,t64
e141,Control,navigate,2026-01-01T08:10:10.12,2026-01-01T08:11:24.86,r1,,,
e174,Control,navigate,2026-01-01T08:10:15.44,2026-01-01T08:10:33.58,r5,,,
e150,Control,navigate,2026-01-01T08:10:20.16,2026-01-01T08:11:47.88,r3,,,
e175,Control,position,2026-01-01T08:10:33.58,2026-01-01T08:10:35.61,r5,,,
e176,Control,align_camera,2026-01-01T08:10:35.61,2026-01-01T08:10:37.50,r5,,,
e177,Task,inspect,2026-01-01T08:10:37.50,2026-01-01T08:10:47.86,r5,m6,m6_s2,t52
e291,Control,position,2026-01-01T08:10:39.65,2026-01-01T08:10:41.56,r2,,,
e292,Control,activate_sprayer,2026-01-01T08:10:41.56,2026-01-01T08:10:44.63,r2,,,
e293,Task,spray,2026-01-01T08:10:44.63,2026-01-01T08:10:59.63,r2,m4,m4_s2,t34
e201,Control,navigate,2026-01-01T08:10:47.86,2026-01-01T08:11:10.00,r5,,,
e269,Control,position,2026-01-01T08:10:58.33,2026-01-01T08:11:00.55,r4,,,
e306,Control,navigate,2026-01-01T08:10:59.63,2026-01-01T08:11:17.97,r2,,,
e138,Control,position,2026-01-01T08:10:59.83,2026-01-01T08:11:02.21,r7,,,
e270,Control,align_gripper,2026-01-01T08:11:00.55,2026-01-01T08:11:02.74,r4,,,
e139,Control,align_camera,2026-01-01T08:11:02.21,2026-01-01T08:11:04.59,r7,,,
e271,Control,grasp,2026-01-01T08:11:02.74,2026-01-01T08:11:05.75,r4,,,
e140,Task,survey_field,2026-01-01T08:11:04.59,2026-01-01T08:11:15.39,r7,m17,,t153
e272,Task,harvest,2026-01-01T08:11:05.75,2026-01-01T08:11:27.38,r4,m4,m4_s3,t37
e202,Control,position,2026-01-01T08:11:10.00,2026-01-01T08:11:11.83,r5,,,
e203,Control,align_camera,2026-01-01T08:11:11.83,2026-01-01T08:11:13.78,r5,,,
e204,Task,inspect,2026-01-01T08:11:13.78,2026-01-01T08:11:27.77,r5,m8,m8_s2,t71
e162,Control,navigate,2026-01-01T08:11:15.39,2026-01-01T08:11:43.86,r7,,,
e307,Control,position,2026-01-01T08:11:17.97,2026-01-01T08:11:19.87,r2,,,
e308,Control,activate_sprayer,2026-01-01T08:11:19.87,2026-01-01T08:11:23.26,r2,,,
e309,Task,spray,2026-01-01T08:11:23.26,2026-01-01T08:11:43.95,r2,m3,m3_s3,t27
e142,Control,position,2026-01-01T08:11:24.86,2026-01-01T08:11:27.06,r1,,,
e143,Control,align_camera,2026-01-01T08:11:27.06,2026-01-01T08:11:28.99,r1,,,
e311,Control,position,2026-01-01T08:11:27.19,2026-01-01T08:11:29.27,r6,,,
e314,Control,navigate,2026-01-01T08:11:27.38,2026-01-01T08:12:24.92,r4,,,
e213,Control,navigate,2026-01-01T08:11:27.77,2026-01-01T08:11:52.29,r5,,,
e144,Task,survey_field,2026-01-01T08:11:28.99,2026-01-01T08:11:37.17,r1,m18,,t163
e312,Control,activate_sprayer,2026-01-01T08:11:29.27,2026-01-01T08:11:32.72,r6,,,
e313,Task,spray,2026-01-01T08:11:32.72,2026-01-01T08:11:49.61,r6,m3,m3_s1,t22
e170,Control,navigate,2026-01-01T08:11:37.17,2026-01-01T08:13:32.17,r1,,,
e163,Control,position,2026-01-01T08:11:43.86,2026-01-01T08:11:46.09,r7,,,
e378,Control,navigate,2026-01-01T08:11:43.95,2026-01-01T08:13:06.34,r2,,,
e164,Control,align_camera,2026-01-01T08:11:46.09,2026-01-01T08:11:47.88,r7,,,
e165,Task,survey_field,2026-01-01T08:11:47.88,2026-01-01T08:11:56.70,r7,m20,,t182
e151,Control,position,2026-01-01T08:11:47.88,2026-01-01T08:11:49.61,r3,,,
e152,Control,align_camera,2026-01-01T08:11:49.61,2026-01-01T08:11:51.98,r3,,,
e374,Control,navigate,2026-01-01T08:11:49.61,2026-01-01T08:13:11.46,r6,,,
e153,Task,survey_field,2026-01-01T08:11:51.98,2026-01-01T08:12:01.82,r3,m19,,t172
e214,Control,position,2026-01-01T08:11:52.29,2026-01-01T08:11:53.89,r5,,,
e215,Control,align_camera,2026-01-01T08:11:53.89,2026-01-01T08:11:55.93,r5,,,
e216,Task,inspect,2026-01-01T08:11:55.93,2026-01-01T08:12:08.28,r5,m10,m10_s2,t90
e205,Control,navigate,2026-01-01T08:11:56.70,2026-01-01T08:12:01.98,r7,,,
e178,Control,navigate,2026-01-01T08:12:01.82,2026-01-01T08:12:19.85,r3,,,
e206,Control,position,2026-01-01T08:12:01.98,2026-01-01T08:12:04.13,r7,,,
e274,Control,position,2026-01-01T08:12:03.76,2026-01-01T08:12:05.59,r8,,,
e207,Control,align_camera,2026-01-01T08:12:04.13,2026-01-01T08:12:06.33,r7,,,
e275,Control,align_gripper,2026-01-01T08:12:05.59,2026-01-01T08:12:07.88,r8,,,
e208,Task,inspect,2026-01-01T08:12:06.33,2026-01-01T08:12:20.67,r7,m8,m8_s3,t74
e276,Control,grasp,2026-01-01T08:12:07.88,2026-01-01T08:12:11.14,r8,,,
e238,Control,navigate,2026-01-01T08:12:08.28,2026-01-01T08:13:52.10,r5,,,
e277,Task,harvest,2026-01-01T08:12:11.14,2026-01-01T08:12:38.49,r8,m1,m1_s3,t9
e179,Control,position,2026-01-01T08:12:19.85,2026-01-01T08:12:21.47,r3,,,
e209,Control,navigate,2026-01-01T08:12:20.67,2026-01-01T08:13:42.60,r7,,,
e180,Control,align_camera,2026-01-01T08:12:21.47,2026-01-01T08:12:23.58,r3,,,
e181,Task,inspect,2026-01-01T08:12:23.58,2026-01-01T08:12:35.75,r3,m6,m6_s3,t55
e315,Control,position,2026-01-01T08:12:24.92,2026-01-01T08:12:26.84,r4,,,
e316,Control,align_gripper,2026-01-01T08:12:26.84,2026-01-01T08:12:28.91,r4,,,
e317,Control,grasp,2026-01-01T08:12:28.91,2026-01-01T08:12:32.11,r4,,,
e318,Task,harvest,2026-01-01T08:12:32.11,2026-01-01T08:12:54.96,r4,m7,m7_s2,t63
e197,Control,navigate,2026-01-01T08:12:35.75,2026-01-01T08:13:32.96,r3,,,
e336,Control,navigate,2026-01-01T08:12:38.49,2026-01-01T08:15:44.33,r8,,,
e331,Control,navigate,2026-01-01T08:12:54.96,2026-01-01T08:14:25.81,r4,,,
e379,Control,position,2026-01-01T08:13:06.34,2026-01-01T08:13:08.05,r2,,,
e380,Control,activate_sprayer,2026-01-01T08:13:08.05,2026-01-01T08:13:11.04,r2,,,
e381,Task,spray,2026-01-01T08:13:11.04,2026-01-01T08:13:30.60,r2,m7,m7_s3,t65
e375,Control,position,2026-01-01T08:13:11.46,2026-01-01T08:13:13.52,r6,,,
e376,Control,activate_sprayer,2026-01-01T08:13:13.52,2026-01-01T08:13:16.64,r6,,,
e377,Task,spray,2026-01-01T08:13:16.64,2026-01-01T08:13:32.60,r6,m7,m7_s1,t60
e453,Control,navigate,2026-01-01T08:13:30.60,2026-01-01T08:14:46.82,r2,,,
e171,Control,position,2026-01-01T08:13:32.17,2026-01-01T08:13:34.02,r1,,,
e382,Control,navigate,2026-01-01T08:13:32.60,2026-01-01T08:13:50.73,r6,,,
e198,Control,position,2026-01-01T08:13:32.96,2026-01-01T08:13:35.16,r3,,,
e172,Control,align_camera,2026-01-01T08:13:34.02,2026-01-01T08:13:36.20,r1,,,
e199,Control,align_camera,2026-01-01T08:13:35.16,2026-01-01T08:13:36.99,r3,,,
e173,Task,inspect,2026-01-01T08:13:36.20,2026-01-01T08:13:49.45,r1,m6,m6_s1,t50
e200,Task,inspect,2026-01-01T08:13:36.99,2026-01-01T08:13:49.39,r3,m8,m8_s1,t69
e210,Control,position,2026-01-01T08:13:42.60,2026-01-01T08:13:44.43,r7,,,
e211,Control,align_camera,2026-01-01T08:13:44.43,2026-01-01T08:13:46.67,r7,,,
e212,Task,inspect,2026-01-01T08:13:46.67,2026-01-01T08:13:56.60,r7,m10,m10_s1,t88
e234,Control,navigate,2026-01-01T08:13:49.39,2026-01-01T08:14:49.70,r3,,,
